start_time,close,high,low,open,volume,datetime
1574812800000,152.52,155.66,125.03,146.0,115911.84,2019-11-27
1574899200000,150.48,156.52,146.41,154.29,116824.07,2019-11-28
1574985600000,154.41,157.4,150.55,150.56,167906.104,2019-11-29
1575072000000,151.38,155.15,149.66,154.4,370491.615,2019-11-30
1575158400000,150.65,152.5,145.5,151.38,394494.119,2019-12-01
1575244800000,148.59,151.3,146.67,150.72,395630.91,2019-12-02
1575331200000,147.1,149.8,145.62,148.59,495996.573,2019-12-03
1575417600000,145.35,152.22,142.96,147.12,684404.817,2019-12-04
1575504000000,148.04,148.88,143.77,145.36,441113.912,2019-12-05
1575590400000,148.41,149.5,145.66,148.08,334645.217,2019-12-06
1575676800000,147.1,149.42,146.77,148.41,239185.31,2019-12-07
1575763200000,150.41,156.25,146.01,147.08,260610.87,2019-12-08
1575849600000,147.37,151.15,146.55,150.41,296475.449,2019-12-09
1575936000000,145.55,148.39,143.78,147.36,253852.598,2019-12-10
1576022400000,142.76,142.87,142.74,142.83,158.649,2019-12-11
1576108800000,144.8,145.8,139.05,143.36,372077.814,2019-12-12
1576195200000,144.7,145.2,143.0,144.8,183068.201,2019-12-13
1576281600000,141.77,144.97,141.05,144.71,187036.667,2019-12-14
1576368000000,142.39,144.0,139.89,141.77,230729.834,2019-12-15
1576454400000,132.59,142.63,128.59,142.46,553596.159,2019-12-16
1576540800000,121.87,132.84,119.1,132.6,613475.54,2019-12-17
1576627200000,132.74,134.75,115.95,121.9,1013697.094,2019-12-18
1576713600000,128.03,133.79,125.66,132.78,637508.534,2019-12-19
1576800000000,128.13,129.33,125.73,128.03,346553.796,2019-12-20
1576886400000,126.99,128.52,126.5,128.13,208331.595,2019-12-21
1576972800000,132.14,133.33,126.78,126.99,443907.086,2019-12-22
1577059200000,127.73,135.09,126.01,132.18,698722.014,2019-12-23
1577145600000,127.76,129.67,126.45,127.75,497534.945,2019-12-24
1577232000000,125.06,127.83,123.0,127.72,455279.225,2019-12-25
1577318400000,125.53,132.44,124.33,125.06,583380.778,2019-12-26
1577404800000,126.21,127.06,122.0,125.53,567887.536,2019-12-27
1577491200000,128.04,129.62,125.77,126.24,468730.855,2019-12-28
1577577600000,134.28,138.25,127.5,128.02,771614.663,2019-12-29
1577664000000,131.52,136.21,130.19,134.22,692165.824,2019-12-30
1577750400000,129.12,133.64,128.15,131.53,647743.359,2019-12-31
1577836800000,130.62,132.96,128.62,129.12,466063.929,2020-01-01
1577923200000,127.11,130.75,126.25,130.63,523582.924,2020-01-02
1578009600000,134.29,135.07,125.78,127.11,951123.597,2020-01-03
1578096000000,134.14,135.8,132.41,134.31,509778.108,2020-01-04
1578182400000,135.33,138.17,134.12,134.14,669677.687,2020-01-05
1578268800000,144.04,144.38,134.82,135.32,1095147.166,2020-01-06
1578355200000,142.86,145.25,138.7,144.11,963331.505,2020-01-07
1578441600000,140.75,147.94,137.15,142.86,1208133.766,2020-01-08
1578528000000,137.73,141.52,135.33,140.76,956864.213,2020-01-09
1578614400000,144.8,145.15,135.22,137.73,908378.249,2020-01-10
1578700800000,142.4,148.03,142.0,144.8,832163.204,2020-01-11
1578787200000,146.57,146.6,141.71,142.4,630256.911,2020-01-12
1578873600000,143.58,147.0,142.32,146.57,558655.672,2020-01-13
1578960000000,165.77,171.0,143.49,143.57,2169559.414,2020-01-14
1579046400000,166.6,172.18,159.35,165.75,1391999.279,2020-01-15
1579132800000,164.37,167.63,158.43,166.61,784199.474,2020-01-16
1579219200000,170.06,174.79,162.27,164.39,946707.348,2020-01-17
1579305600000,174.43,179.57,165.08,170.06,819444.357,2020-01-18
1579392000000,167.04,178.42,161.81,174.37,742371.819,2020-01-19
1579478400000,167.03,169.48,161.5,167.04,390055.869,2020-01-20
1579564800000,169.52,170.34,165.02,167.01,351565.999,2020-01-21
1579651200000,168.19,171.61,166.12,169.62,334378.174,2020-01-22
1579737600000,162.97,168.38,159.41,168.24,481102.22,2020-01-23
1579824000000,162.63,164.65,155.72,162.97,472568.424,2020-01-24
1579910400000,160.52,163.0,157.8,162.66,282785.555,2020-01-25
1579996800000,167.9,168.16,159.5,160.5,326188.863,2020-01-26
1580083200000,170.21,172.26,165.28,167.98,418039.792,2020-01-27
1580169600000,175.88,176.7,170.22,170.25,525282.459,2020-01-28
1580256000000,173.8,178.85,173.3,175.89,401619.605,2020-01-29
1580342400000,185.14,187.4,171.07,173.86,653770.608,2020-01-30
1580428800000,180.14,186.34,175.5,185.16,672522.049,2020-01-31
1580515200000,183.82,184.58,179.41,180.14,526688.019,2020-02-01
1580601600000,188.59,193.7,179.0,183.8,907342.798,2020-02-02
1580688000000,189.92,195.45,186.65,188.64,652054.538,2020-02-03
1580774400000,189.01,191.76,184.71,189.89,614290.379,2020-02-04
1580860800000,204.1,208.18,188.26,189.0,902811.615,2020-02-05
1580947200000,213.27,216.7,201.28,204.1,1254989.317,2020-02-06
1581033600000,223.57,225.36,213.3,213.3,1054174.736,2020-02-07
1581120000000,223.57,228.02,213.35,223.57,1090545.108,2020-02-08
1581206400000,228.64,230.9,223.5,223.57,969021.787,2020-02-09
1581292800000,223.03,229.96,217.32,228.71,1175671.024,2020-02-10
1581379200000,237.16,239.98,218.64,223.04,1194286.448,2020-02-11
1581465600000,266.24,277.97,237.17,237.17,2223807.477,2020-02-12
1581552000000,268.48,278.8,256.2,266.26,2386998.02,2020-02-13
1581638400000,285.4,287.58,260.53,268.48,1447161.175,2020-02-14
1581724800000,265.08,289.0,262.41,285.4,1925220.413,2020-02-15
1581811200000,258.87,274.3,237.86,265.16,2297491.401,2020-02-16
1581897600000,268.0,268.81,242.32,258.87,2129022.892,2020-02-17
1581984000000,282.96,286.48,258.78,267.99,1885124.383,2020-02-18
1582070400000,258.43,286.7,250.0,282.96,1677778.697,2020-02-19
1582156800000,257.11,264.32,245.91,258.39,1618473.989,2020-02-20
1582243200000,265.44,268.5,253.89,257.18,985301.295,2020-02-21
1582329600000,261.83,267.16,256.23,265.45,752957.418,2020-02-22
1582416000000,274.67,275.84,261.5,261.82,940831.98,2020-02-23
1582502400000,265.7,277.26,257.5,274.66,1483265.023,2020-02-24
1582588800000,247.03,266.4,244.57,265.69,1563901.657,2020-02-25
