start_time,close,high,low,open,volume,datetime
1647115200000,2586.8,2591.66,2573.87,2576.76,25150.188,2022-03-12 20:00:00
1647118800000,2585.65,2591.72,2583.06,2586.8,13017.639,2022-03-12 21:00:00
1647122400000,2585.83,2591.38,2583.26,2585.65,10603.583,2022-03-12 22:00:00
1647126000000,2567.64,2590.2,2560.0,2585.84,35792.013,2022-03-12 23:00:00
1647129600000,2570.91,2573.78,2555.81,2567.63,45174.466,2022-03-13 00:00:00
1647133200000,2586.43,2598.0,2569.78,2571.0,51386.78,2022-03-13 01:00:00
1647136800000,2590.86,2604.13,2585.48,2586.43,32162.863,2022-03-13 02:00:00
1647140400000,2591.48,2595.53,2588.33,2590.86,18592.605,2022-03-13 03:00:00
1647144000000,2585.77,2596.38,2584.45,2591.47,21859.718,2022-03-13 04:00:00
1647147600000,2583.66,2589.69,2581.88,2585.76,12845.18,2022-03-13 05:00:00
1647151200000,2587.46,2589.0,2579.8,2583.67,20011.574,2022-03-13 06:00:00
1647154800000,2580.46,2590.91,2580.06,2587.47,18000.36,2022-03-13 07:00:00
1647158400000,2579.5,2583.85,2573.98,2580.46,36178.757,2022-03-13 08:00:00
1647162000000,2578.91,2580.3,2568.69,2579.5,36716.062,2022-03-13 09:00:00
1647165600000,2587.36,2588.0,2577.66,2578.91,33464.674,2022-03-13 10:00:00
1647169200000,2573.92,2595.0,2564.3,2587.37,71383.774,2022-03-13 11:00:00
1647172800000,2538.39,2574.84,2532.0,2573.92,121868.398,2022-03-13 12:00:00
1647176400000,2558.94,2569.98,2535.04,2538.38,112005.778,2022-03-13 13:00:00
1647180000000,2564.78,2569.99,2556.4,2558.94,39900.56,2022-03-13 14:00:00
1647183600000,2578.29,2590.0,2564.01,2564.77,72042.492,2022-03-13 15:00:00
1647187200000,2581.09,2584.45,2568.94,2578.29,39272.206,2022-03-13 16:00:00
1647190800000,2577.35,2585.5,2575.33,2581.1,30756.02,2022-03-13 17:00:00
