start_time,close,high,low,open,volume,datetime
1701129600000,2027.22,2040.39,2020.22,2027.5,28655.1144,2023-11-28 00:00:00
1701144000000,2014.62,2029.74,1995.15,2027.22,41380.7774,2023-11-28 04:00:00
1701158400000,2028.07,2028.93,2005.62,2014.62,37761.8381,2023-11-28 08:00:00
1701172800000,2036.39,2042.4,2019.37,2028.07,49254.0484,2023-11-28 12:00:00
1701187200000,2059.0,2075.0,2035.2,2036.39,92697.5254,2023-11-28 16:00:00
1701201600000,2048.14,2065.0,2043.1,2059.0,34026.6242,2023-11-28 20:00:00
1701216000000,2053.27,2057.8,2038.79,2048.14,38533.617,2023-11-29 00:00:00
1701230400000,2057.61,2063.64,2047.69,2053.26,31373.2468,2023-11-29 04:00:00
1701244800000,2052.95,2075.7,2045.0,2057.62,55148.4255,2023-11-29 08:00:00
1701259200000,2031.72,2061.8,2019.97,2052.95,65568.8416,2023-11-29 12:00:00
1701273600000,2038.9,2042.56,2019.31,2031.72,39774.3764,2023-11-29 16:00:00
1701288000000,2028.81,2040.17,2020.01,2038.89,24445.2246,2023-11-29 20:00:00
1701302400000,2040.71,2040.85,2022.5,2028.8,26731.0942,2023-11-30 00:00:00
1701316800000,2035.76,2044.19,2031.75,2040.71,60289.7631,2023-11-30 04:00:00
1701331200000,2045.48,2046.82,2020.85,2035.76,32746.3325,2023-11-30 08:00:00
1701345600000,2033.05,2052.32,2025.02,2045.47,61854.9563,2023-11-30 12:00:00
1701360000000,2041.43,2044.0,2028.66,2033.04,29696.0928,2023-11-30 16:00:00
1701374400000,2051.96,2054.75,2039.66,2041.43,32361.8532,2023-11-30 20:00:00
1701388800000,2092.2,2093.76,2045.04,2051.95,86608.5271,2023-12-01 00:00:00
1701403200000,2092.75,2107.26,2087.2,2092.2,71796.7014,2023-12-01 04:00:00
1701417600000,2093.01,2110.87,2086.99,2092.74,71498.2075,2023-12-01 08:00:00
1701432000000,2080.16,2094.79,2071.0,2093.02,49905.2682,2023-12-01 12:00:00
1701446400000,2090.2,2110.0,2078.2,2080.16,71989.9635,2023-12-01 16:00:00
1701460800000,2087.24,2095.95,2082.44,2090.2,20846.9183,2023-12-01 20:00:00
1701475200000,2092.93,2097.0,2086.25,2087.24,18992.7861,2023-12-02 00:00:00
1701489600000,2095.99,2106.63,2090.17,2092.92,21078.1769,2023-12-02 04:00:00
1701504000000,2099.15,2107.0,2095.98,2095.98,25943.1981,2023-12-02 08:00:00
1701518400000,2104.17,2109.12,2093.39,2099.15,36435.0121,2023-12-02 12:00:00
1701532800000,2158.77,2186.6,2097.43,2104.18,163366.8066,2023-12-02 16:00:00
1701547200000,2164.74,2175.8,2152.94,2158.76,55163.997,2023-12-02 20:00:00
1701561600000,2161.74,2177.41,2155.7,2164.75,39704.716,2023-12-03 00:00:00
1701576000000,2164.73,2165.44,2152.92,2161.75,28544.8552,2023-12-03 04:00:00
1701590400000,2159.31,2168.42,2156.47,2164.72,25754.4445,2023-12-03 08:00:00
1701604800000,2160.48,2165.71,2149.0,2159.3,43694.8003,2023-12-03 12:00:00
1701619200000,2167.57,2168.84,2150.46,2160.48,30213.9874,2023-12-03 16:00:00
1701633600000,2192.95,2217.27,2165.16,2167.57,89966.3102,2023-12-03 20:00:00
1701648000000,2210.51,2228.59,2191.0,2192.96,79585.3125,2023-12-04 00:00:00
1701662400000,2246.3,2265.0,2210.35,2210.5,136259.6954,2023-12-04 04:00:00
1701676800000,2237.52,2274.28,2213.66,2246.31,140742.9428,2023-12-04 08:00:00
1701691200000,2211.75,2255.86,2201.77,2237.53,101821.6887,2023-12-04 12:00:00
1701705600000,2234.46,2235.65,2209.83,2211.74,52657.756,2023-12-04 16:00:00
1701720000000,2243.37,2254.0,2220.06,2234.47,54240.318,2023-12-04 20:00:00
1701734400000,2230.78,2253.52,2222.77,2243.36,47514.2628,2023-12-05 00:00:00
1701748800000,2200.27,2237.99,2188.33,2230.78,63184.9346,2023-12-05 04:00:00
1701763200000,2204.86,2210.0,2190.47,2200.26,60940.3426,2023-12-05 08:00:00
1701777600000,2228.45,2234.18,2199.58,2204.86,70002.1478,2023-12-05 12:00:00
1701792000000,2272.72,2309.72,2220.0,2228.45,209501.6481,2023-12-05 16:00:00
1701806400000,2293.33,2298.63,2252.0,2272.73,78686.3855,2023-12-05 20:00:00
1701820800000,2281.8,2312.23,2273.94,2293.33,79645.061,2023-12-06 00:00:00
1701835200000,2265.82,2284.75,2258.38,2281.8,53391.4411,2023-12-06 04:00:00
1701849600000,2253.15,2287.78,2233.72,2265.82,89154.4826,2023-12-06 08:00:00
1701864000000,2252.25,2269.0,2247.45,2253.15,69436.0775,2023-12-06 12:00:00
1701878400000,2262.8,2284.6,2250.34,2252.26,55729.8781,2023-12-06 16:00:00
1701892800000,2232.7,2265.11,2220.0,2262.79,60981.9653,2023-12-06 20:00:00
1701907200000,2249.07,2250.2,2230.63,2232.7,33819.3012,2023-12-07 00:00:00
1701921600000,2261.66,2269.42,2247.94,2249.07,37516.7471,2023-12-07 04:00:00
1701936000000,2236.05,2268.96,2222.0,2261.67,86195.8044,2023-12-07 08:00:00
1701950400000,2321.39,2329.94,2232.05,2236.04,123345.5343,2023-12-07 12:00:00
1701964800000,2335.62,2356.0,2316.38,2321.39,129875.1779,2023-12-07 16:00:00
