start_time,close,high,low,open,volume,datetime
1571529600000,175.49,176.8,169.11,172.05,43323.2493949,2019-10-20
1571616000000,174.37,178.0,171.45,175.49,69165.37852042,2019-10-21
1571702400000,171.3,175.4,170.47,174.36,41854.53917383,2019-10-22
1571788800000,162.49,174.05,153.0,171.26,204251.4778462,2019-10-23
1571875200000,160.67,164.0,158.9,162.42,56468.22413448,2019-10-24
1571961600000,181.66,187.74,160.57,160.67,158620.93268548,2019-10-25
1572048000000,180.03,199.5,173.86,181.66,241944.54485677,2019-10-26
1572134400000,184.41,189.18,176.84,180.02,85150.97041769,2019-10-27
1572220800000,182.02,190.0,181.0,184.32,83795.56183726,2019-10-28
1572307200000,191.1,193.41,181.72,182.03,67590.05967617,2019-10-29
1572393600000,183.38,192.2,180.05,191.03,74614.13014363,2019-10-30
1572480000000,182.38,185.47,177.81,183.4,63173.80698137,2019-10-31
1572566400000,183.19,184.99,177.39,182.38,61313.90214742,2019-11-01
1572652800000,183.25,186.19,181.91,183.26,29643.79000242,2019-11-02
1572739200000,181.73,185.0,179.11,183.26,23415.99177531,2019-11-03
1572825600000,186.25,189.5,180.45,181.73,52941.33587948,2019-11-04
1572912000000,188.88,192.47,181.76,186.26,71159.65174538,2019-11-05
1572998400000,191.13,194.6,187.87,188.88,53163.07554597,2019-11-06
1573084800000,186.42,192.27,184.14,191.17,44563.94990128,2019-11-07
1573171200000,183.62,188.09,180.71,186.42,66332.92266474,2019-11-08
1573257600000,184.77,185.7,182.21,183.62,31447.97094429,2019-11-09
1573344000000,188.88,192.0,183.41,184.77,44224.51984423,2019-11-10
1573430400000,184.65,190.0,183.77,188.89,34818.77604733,2019-11-11
1573516800000,186.98,187.27,182.07,184.65,41578.59846537,2019-11-12
1573603200000,187.72,189.31,185.08,186.98,33802.01492951,2019-11-13
1573689600000,184.55,188.45,182.75,187.81,81996.7273791,2019-11-14
1573776000000,179.82,186.59,177.0,184.55,97521.84219423,2019-11-15
1573862400000,182.25,183.17,178.95,179.79,32159.27524038,2019-11-16
1573948800000,183.88,186.26,180.0,182.23,34966.19809893,2019-11-17
1574035200000,177.85,183.95,173.56,183.88,57753.51387824,2019-11-18
1574121600000,175.73,178.14,172.38,177.8,45880.80040413,2019-11-19
1574208000000,174.35,177.25,173.26,175.75,48839.47664908,2019-11-20
1574294400000,160.82,175.49,155.0,174.35,142035.81431758,2019-11-21
1574380800000,149.97,162.65,137.8,160.83,282192.72934448,2019-11-22
1574467200000,152.0,154.54,146.37,149.98,88211.89264035,2019-11-23
1574553600000,139.99,153.19,138.53,152.0,86567.95699641,2019-11-24
1574640000000,145.91,151.69,131.8,140.1,223502.71656311,2019-11-25
1574726400000,147.83,149.9,143.57,146.16,72544.44431373,2019-11-26
1574812800000,153.0,155.89,141.02,147.83,129890.14649212,2019-11-27
1574899200000,151.01,155.0,149.31,153.04,56243.39113343,2019-11-28
1574985600000,154.75,157.73,150.5,151.01,82606.47013886,2019-11-29
1575072000000,151.78,155.45,149.6,154.75,45611.17813513,2019-11-30
1575158400000,150.97,152.67,145.97,151.61,59294.95282201,2019-12-01
1575244800000,148.97,151.65,146.82,150.94,42531.00970201,2019-12-02
1575331200000,147.33,150.0,145.67,148.83,39186.51439846,2019-12-03
1575417600000,145.5,153.0,143.17,147.33,100067.8290018,2019-12-04
1575504000000,148.18,148.95,143.8,145.5,48788.47831841,2019-12-05
1575590400000,148.82,149.85,145.75,148.2,45179.42472738,2019-12-06
1575676800000,147.43,149.88,147.2,148.82,22433.78975537,2019-12-07
1575763200000,150.71,152.0,146.36,147.41,34863.39671715,2019-12-08
1575849600000,147.3,151.47,146.69,150.7,46803.5083513,2019-12-09
1575936000000,145.55,148.22,143.81,147.28,42296.17158865,2019-12-10
1576022400000,143.29,146.29,142.01,145.54,32984.0629026,2019-12-11
1576108800000,144.69,146.12,139.1,143.29,71296.16682566,2019-12-12
1576195200000,144.7,145.13,142.76,144.7,40038.07083,2019-12-13
1576281600000,141.73,145.03,141.11,144.7,35634.32109091,2019-12-14
1576368000000,142.38,143.99,139.8,141.72,38771.46693104,2019-12-15
1576454400000,132.36,142.53,129.03,142.38,112774.91970049,2019-12-16
1576540800000,121.83,132.66,119.5,132.36,190028.12824453,2019-12-17
1576627200000,132.89,134.81,116.25,121.84,203446.51981441,2019-12-18
1576713600000,128.18,134.11,125.68,132.89,93934.20288922,2019-12-19
1576800000000,128.37,129.32,125.71,128.18,44379.22091837,2019-12-20
1576886400000,127.09,128.45,126.63,128.36,25941.74023594,2019-12-21
1576972800000,132.4,133.22,126.89,127.16,40439.9594125,2019-12-22
1577059200000,127.78,135.24,126.16,132.4,62248.12241615,2019-12-23
1577145600000,127.71,129.5,126.5,127.75,34976.25422744,2019-12-24
1577232000000,125.0,127.77,123.16,127.67,45117.58085216,2019-12-25
1577318400000,125.49,132.06,124.06,125.0,51891.10919615,2019-12-26
1577404800000,126.23,126.7,122.15,125.49,39780.97303035,2019-12-27
1577491200000,127.91,129.6,125.8,126.23,47036.68791942,2019-12-28
1577577600000,134.3,137.85,127.22,127.95,64885.83350862,2019-12-29
1577664000000,131.1,135.97,129.79,134.31,58811.72784574,2019-12-30
1577750400000,128.54,133.19,127.6,131.08,85044.39188554,2019-12-31
1577836800000,130.19,132.68,128.12,128.54,57512.49500629,2020-01-01
1577923200000,126.81,130.18,125.83,130.14,49211.56901537,2020-01-02
1578009600000,134.17,134.93,125.52,126.81,88651.89284841,2020-01-03
1578096000000,134.14,135.75,132.5,134.17,31254.84712421,2020-01-04
1578182400000,135.31,138.97,134.14,134.14,45353.69311227,2020-01-05
1578268800000,144.19,144.51,134.78,135.31,91523.60992709,2020-01-06
1578355200000,143.08,145.25,138.79,144.2,96525.42253821,2020-01-07
1578441600000,140.6,148.0,137.03,143.08,101682.09291578,2020-01-08
1578528000000,137.71,141.38,135.12,140.64,61184.99933797,2020-01-09
1578614400000,144.72,145.81,135.26,137.72,137620.99823131,2020-01-10
1578700800000,142.63,148.0,142.0,144.89,52850.50876755,2020-01-11
1578787200000,146.6,146.6,141.83,142.51,35450.66532334,2020-01-12
1578873600000,143.51,147.0,142.1,146.55,44072.65864059,2020-01-13
1578960000000,165.76,170.83,143.45,143.5,258408.61594025,2020-01-14
1579046400000,166.29,172.18,159.13,165.74,165292.68609565,2020-01-15
1579132800000,163.93,167.28,158.17,166.27,88188.75031049,2020-01-16
1579219200000,169.59,174.52,162.01,164.0,134919.66648757,2020-01-17
1579305600000,174.06,179.32,164.92,169.54,113052.32285408,2020-01-18
1579392000000,166.75,178.0,161.7,174.05,113433.68959115,2020-01-19
1579478400000,166.68,169.3,161.1,166.67,66340.77435099,2020-01-20
1579564800000,169.19,170.0,164.28,166.66,61518.4955582,2020-01-21
1579651200000,167.68,171.05,165.65,169.29,49452.51856158,2020-01-22
1579737600000,162.4,167.79,158.44,167.73,69309.04423236,2020-01-23
1579824000000,162.3,164.21,154.48,162.49,88510.10066684,2020-01-24
1579910400000,160.12,162.41,157.4,162.31,36677.5237579,2020-01-25
1579996800000,167.35,167.59,159.09,160.0,44653.7353865,2020-01-26
1580083200000,169.77,171.7,164.89,167.58,84463.87778454,2020-01-27
1580169600000,175.99,176.5,169.78,169.78,102264.17475594,2020-01-28
1580256000000,173.45,178.31,173.13,175.91,85409.92407361,2020-01-29
1580342400000,184.55,186.89,170.0,173.41,104426.47390742,2020-01-30
1580428800000,179.74,185.68,175.0,184.52,108639.77662455,2020-01-31
1580515200000,183.5,184.2,179.0,179.72,65650.16851655,2020-02-01
1580601600000,188.29,193.52,178.98,183.49,96138.84421015,2020-02-02
1580688000000,189.42,195.21,186.25,188.22,89093.19595622,2020-02-03
1580774400000,188.24,191.37,184.29,189.41,89059.71463466,2020-02-04
1580860800000,204.0,207.93,186.89,188.25,143938.17466042,2020-02-05
1580947200000,212.95,216.49,200.54,204.01,162316.43667648,2020-02-06
1581033600000,223.22,224.78,212.94,212.94,161651.51487279,2020-02-07
1581120000000,223.37,228.4,213.24,223.22,137475.60159995,2020-02-08
1581206400000,228.8,230.9,223.16,223.36,111211.55092349,2020-02-09
1581292800000,222.85,229.6,216.31,228.8,106485.3898759,2020-02-10
1581379200000,237.98,239.92,217.83,222.86,174444.85728588,2020-02-11
1581465600000,266.49,276.15,237.95,237.99,293996.34960631,2020-02-12
1581552000000,268.42,278.01,253.75,266.63,264197.24736242,2020-02-13
1581638400000,286.27,287.98,260.13,268.37,191566.74315799,2020-02-14
1581724800000,264.92,290.0,261.35,285.95,251243.79219334,2020-02-15
1581811200000,258.5,274.0,236.37,264.83,248679.14437688,2020-02-16
1581897600000,268.03,269.0,242.36,258.58,204959.48476961,2020-02-17
1581984000000,283.31,286.87,259.24,268.2,211662.70708459,2020-02-18
1582070400000,258.66,287.13,250.0,283.34,239803.85463207,2020-02-19
1582156800000,257.4,264.26,245.25,258.51,203271.5155604,2020-02-20
1582243200000,265.8,268.71,254.1,257.2,136892.24699258,2020-02-21
1582329600000,262.08,267.04,256.3,265.79,63814.59112412,2020-02-22
1582416000000,275.48,276.62,261.53,261.94,104405.13989679,2020-02-23
1582502400000,265.31,278.13,256.06,275.48,197775.66826806,2020-02-24
1582588800000,246.5,266.24,244.44,265.53,152709.51365655,2020-02-25
1582675200000,223.5,250.84,215.33,246.28,404352.61565839,2020-02-26
1582761600000,227.63,239.0,209.26,223.78,342714.17971542,2020-02-27
1582848000000,227.37,234.9,213.63,227.6,258340.98757632,2020-02-28
1582934400000,217.31,233.32,216.83,227.13,93401.32179224,2020-02-29
1583020800000,217.26,227.99,211.5,217.36,144339.90935814,2020-03-01
1583107200000,232.12,234.5,215.75,217.34,189047.53250784,2020-03-02
1583193600000,223.75,232.92,220.0,232.12,173987.90547375,2020-03-03
1583280000000,224.56,228.83,220.39,223.72,106846.75811775,2020-03-04
1583366400000,228.64,234.47,224.49,224.49,160025.91518532,2020-03-05
1583452800000,245.56,245.84,227.77,228.6,140307.21140132,2020-03-06
1583539200000,237.75,253.01,236.67,245.53,147025.87399131,2020-03-07
1583625600000,199.46,237.75,196.0,237.75,293962.39516435,2020-03-08
1583712000000,202.77,208.65,189.85,199.51,461839.12853606,2020-03-09
1583798400000,200.5,206.28,195.17,202.76,184956.93858031,2020-03-10
1583884800000,194.61,202.98,181.0,200.63,240340.20653555,2020-03-11
1583971200000,110.3,195.64,101.22,194.62,1290935.34805301,2020-03-12
1584057600000,135.51,148.0,90.0,110.3,1322282.9798003,2020-03-13
1584144000000,122.17,135.9,120.71,135.44,284672.85934781,2020-03-14
1584230400000,123.3,134.1,119.84,122.11,438391.83520594,2020-03-15
1584316800000,111.38,123.75,100.5,123.33,891238.58022214,2020-03-16
1584403200000,116.09,121.49,109.66,111.36,418552.55664492,2020-03-17
1584489600000,118.6,118.88,110.18,116.06,306306.60980115,2020-03-18
1584576000000,136.68,144.44,115.72,118.59,486951.21183315,2020-03-19
1584662400000,133.27,154.0,115.51,136.65,626525.45202553,2020-03-20
1584748800000,132.79,137.64,125.84,133.35,259380.31056445,2020-03-21
1584835200000,122.42,137.38,120.9,132.79,261957.09352208,2020-03-22
1584921600000,137.0,138.0,119.2,122.31,392334.34456747,2020-03-23
1585008000000,139.0,144.16,133.04,137.0,328276.63196021,2020-03-24
1585094400000,136.26,142.79,132.5,138.95,228043.63383605,2020-03-25
1585180800000,139.0,140.36,133.52,136.35,168611.79605607,2020-03-26
1585267200000,131.56,142.5,130.0,139.0,173786.92012003,2020-03-27
1585353600000,131.35,133.8,125.01,131.56,172811.93639922,2020-03-28
1585440000000,124.35,132.18,123.72,131.36,93067.42014241,2020-03-29
1585526400000,132.32,135.48,124.05,124.43,154018.23932986,2020-03-30
1585612800000,133.08,135.35,130.45,132.3,86613.22974083,2020-03-31
1585699200000,136.14,137.4,128.6,133.08,99102.5178578,2020-04-01
1585785600000,141.53,150.5,135.5,136.14,214501.14100152,2020-04-02
1585872000000,141.54,146.81,138.0,141.48,120557.4337924,2020-04-03
1585958400000,144.48,146.69,139.04,141.48,85410.10645987,2020-04-04
1586044800000,142.79,145.98,140.81,144.49,64777.90082877,2020-04-05
1586131200000,171.5,172.19,142.79,142.79,398555.26124929,2020-04-06
1586217600000,164.57,176.82,161.47,171.56,533130.95121358,2020-04-07
1586304000000,173.36,174.77,163.49,164.54,192588.6023951,2020-04-08
1586390400000,169.75,173.55,165.32,173.43,165254.80474587,2020-04-09
1586476800000,158.1,170.39,152.3,169.71,258810.1653336,2020-04-10
1586563200000,158.55,161.5,154.2,158.1,96587.83228092,2020-04-11
1586649600000,158.87,165.45,155.31,158.68,133037.62244785,2020-04-12
1586736000000,156.76,159.44,149.7,158.82,233848.97745777,2020-04-13
1586822400000,158.65,163.0,155.56,156.76,198839.23382124,2020-04-14
1586908800000,152.77,161.5,152.17,158.68,142489.51028959,2020-04-15
1586995200000,172.55,175.2,148.08,152.76,376129.26054849,2020-04-16
1587081600000,170.89,175.1,168.5,172.58,136537.58680864,2020-04-17
1587168000000,187.88,191.22,170.69,170.85,320092.58324239,2020-04-18
1587254400000,180.39,189.92,176.53,187.85,194900.14018716,2020-04-19
1587340800000,170.5,186.67,166.4,180.28,280053.96893369,2020-04-20
1587427200000,171.07,174.93,168.44,170.39,169875.06657111,2020-04-21
1587513600000,183.11,184.41,170.02,171.05,178433.47878367,2020-04-22
1587600000000,185.66,194.86,178.44,183.1,271745.32794126,2020-04-23
1587686400000,187.84,189.91,184.97,185.65,125300.66822971,2020-04-24
1587772800000,194.42,198.2,185.97,187.92,147021.91304917,2020-04-25
1587859200000,197.83,200.0,192.54,194.42,134905.32156149,2020-04-26
1587945600000,196.78,199.41,189.6,197.8,165535.9963748,2020-04-27
1588032000000,196.67,197.95,192.5,196.88,105608.41827873,2020-04-28
1588118400000,215.66,219.59,196.64,196.64,377357.2932836,2020-04-29
1588204800000,206.23,227.5,202.3,215.74,410315.64169167,2020-04-30
1588291200000,212.09,217.58,206.18,206.22,153088.48477931,2020-05-01
1588377600000,214.25,215.59,210.57,212.08,86048.74335239,2020-05-02
1588464000000,210.24,219.48,205.28,214.25,145164.74879656,2020-05-03
1588550400000,206.86,210.96,195.17,210.24,209514.67319864,2020-05-04
1588636800000,205.43,212.17,201.33,207.02,126463.17604265,2020-05-05
1588723200000,199.26,211.21,198.18,205.5,172142.53654051,2020-05-06
1588809600000,212.47,215.99,196.82,199.1,259914.56415047,2020-05-07
1588896000000,211.59,217.0,207.2,212.5,156564.17053734,2020-05-08
1588982400000,210.0,214.79,208.27,211.65,120178.88081369,2020-05-09
1589068800000,187.73,210.06,180.01,210.06,479238.22296594,2020-05-10
1589155200000,185.93,193.77,176.43,187.65,266403.27205753,2020-05-11
1589241600000,190.1,192.89,185.79,185.93,114408.63558372,2020-05-12
1589328000000,199.92,201.59,188.36,189.93,145067.37490257,2020-05-13
1589414400000,203.4,206.25,195.7,199.92,169935.22065409,2020-05-14
1589500800000,194.7,204.3,191.35,203.4,145885.04950668,2020-05-15
1589587200000,200.53,203.36,193.24,194.66,89046.63238362,2020-05-16
1589673600000,207.05,210.0,199.1,200.5,114512.3105608,2020-05-17
1589760000000,214.97,216.99,206.99,207.05,163043.28096713,2020-05-18
1589846400000,214.71,215.84,209.22,214.86,98910.17410947,2020-05-19
1589932800000,209.96,215.5,205.1,214.8,104103.82197937,2020-05-20
1590019200000,198.62,211.52,191.27,209.95,179532.29834323,2020-05-21
1590105600000,207.32,209.28,196.12,198.61,129598.18331979,2020-05-22
1590192000000,206.66,211.3,204.56,207.3,67466.85940148,2020-05-23
1590278400000,199.63,210.67,199.3,206.61,106095.09791687,2020-05-24
1590364800000,204.06,205.71,198.01,199.63,81997.29845547,2020-05-25
1590451200000,200.91,205.03,196.65,204.13,100703.87164821,2020-05-26
1590537600000,208.41,208.48,200.76,200.87,77179.58901738,2020-05-27
1590624000000,220.44,220.68,204.5,208.41,146497.83268041,2020-05-28
1590710400000,220.62,224.84,217.52,220.39,135620.52543794,2020-05-29
1590796800000,243.84,247.36,218.33,220.55,254679.91896954,2020-05-30
1590883200000,231.54,245.46,229.46,243.85,162582.98189044,2020-05-31
1590969600000,248.41,251.46,230.59,231.43,216373.63959941,2020-06-01
1591056000000,237.71,253.6,225.6,248.42,270793.52134846,2020-06-02
1591142400000,244.6,245.39,233.28,237.7,112638.13782506,2020-06-03
1591228800000,243.18,246.73,236.17,244.59,159033.0192543,2020-06-04
1591315200000,240.04,247.9,238.65,243.18,117168.70393642,2020-06-05
1591401600000,241.92,244.52,237.67,240.04,60101.61055226,2020-06-06
1591488000000,244.81,245.45,234.48,241.92,128372.56725763,2020-06-07
1591574400000,246.55,247.97,240.82,244.79,93327.75056481,2020-06-08
1591660800000,244.03,249.99,238.91,246.55,111405.53181014,2020-06-09
1591747200000,248.16,250.56,242.13,244.04,142311.15342422,2020-06-10
1591833600000,230.15,250.26,225.2,248.27,240083.16277683,2020-06-11
1591920000000,237.53,239.54,227.84,230.14,133036.84861839,2020-06-12
1592006400000,238.17,238.8,234.11,237.57,46315.99128011,2020-06-13
1592092800000,231.34,238.59,229.75,238.18,108186.66771876,2020-06-14
1592179200000,230.98,234.0,217.79,231.34,240181.57688417,2020-06-15
1592265600000,235.34,236.02,228.78,230.96,86465.3143021,2020-06-16
1592352000000,233.71,237.0,227.5,235.35,89376.40701295,2020-06-17
1592438400000,231.05,234.5,227.37,233.69,64198.37536142,2020-06-18
1592524800000,228.66,231.9,226.43,231.05,66279.2578057,2020-06-19
1592611200000,228.8,230.67,225.5,228.67,44777.05564533,2020-06-20
1592697600000,227.68,231.29,226.86,228.8,44083.75435657,2020-06-21
1592784000000,243.23,246.95,227.2,227.7,166917.79861423,2020-06-22
1592870400000,243.12,244.8,240.73,243.24,73617.26296542,2020-06-23
1592956800000,234.44,249.04,230.66,243.08,145340.38961032,2020-06-24
1593043200000,231.97,235.24,227.05,234.44,115681.75713751,2020-06-25
1593129600000,229.44,233.25,227.3,231.94,82611.98976703,2020-06-26
1593216000000,220.76,231.1,215.16,229.45,131871.65434052,2020-06-27
1593302400000,224.76,227.93,217.35,220.74,67155.35599069,2020-06-28
1593388800000,227.81,229.98,220.98,224.94,81211.44620718,2020-06-29
1593475200000,225.48,228.69,222.93,227.81,57678.36075887,2020-06-30
1593561600000,231.03,232.77,224.11,225.5,91282.48097,2020-07-01
1593648000000,226.48,232.15,222.78,231.15,89324.15323347,2020-07-02
1593734400000,225.06,228.26,224.31,226.43,67562.68650168,2020-07-03
1593820800000,229.34,231.04,224.5,224.98,50798.99631699,2020-07-04
1593907200000,227.67,229.93,223.5,229.34,45635.09435721,2020-07-05
1593993600000,241.65,241.99,227.08,227.62,140881.46531449,2020-07-06
1594080000000,239.37,243.82,234.55,241.71,84359.1623332,2020-07-07
1594166400000,247.14,249.0,237.91,239.37,135216.77486401,2020-07-08
1594252800000,242.0,247.67,237.04,247.11,107698.9573371,2020-07-09
1594339200000,241.2,242.12,235.56,242.0,71281.88112286,2020-07-10
1594425600000,239.17,241.58,237.43,241.26,38867.95249326,2020-07-11
1594512000000,242.81,243.9,236.51,239.18,61521.88398572,2020-07-12
1594598400000,239.44,245.37,236.97,242.81,123671.07492457,2020-07-13
1594684800000,240.43,242.01,236.66,239.25,70522.17530535,2020-07-14
1594771200000,238.33,241.44,236.36,240.4,116172.66592129,2020-07-15
1594857600000,233.41,239.16,229.77,238.35,143676.50946975,2020-07-16
1594944000000,232.63,234.55,230.87,233.47,77645.60947152,2020-07-17
1595030400000,235.72,236.97,232.24,232.59,48348.08464248,2020-07-18
1595116800000,239.17,240.0,233.28,235.69,47600.88537256,2020-07-19
1595203200000,236.1,239.8,233.85,239.26,75335.42836551,2020-07-20
1595289600000,245.65,247.18,235.77,236.12,132078.78763576,2020-07-21
1595376000000,264.28,269.49,241.62,245.64,152721.59642151,2020-07-22
1595462400000,275.68,282.6,260.1,264.28,309092.34216714,2020-07-23
1595548800000,279.59,287.8,268.39,275.56,180943.23090308,2020-07-24
1595635200000,305.66,310.0,279.62,279.66,245086.41093138,2020-07-25
1595721600000,311.35,319.86,300.21,305.55,238205.01599146,2020-07-26
1595808000000,322.24,334.34,311.38,311.43,412079.37629514,2020-07-27
1595894400000,317.59,327.34,306.29,322.41,208395.56039785,2020-07-28
1595980800000,318.16,325.85,312.66,317.52,166994.96333734,2020-07-29
1596067200000,335.31,342.4,314.52,318.15,175330.87646686,2020-07-30
1596153600000,346.86,349.74,328.35,335.25,199448.47978816,2020-07-31
1596240000000,387.4,394.0,343.75,346.86,308505.50003166,2020-08-01
1596326400000,372.21,415.0,325.75,387.4,573146.54484066,2020-08-02
1596412800000,386.22,399.69,366.34,372.19,246596.56665901,2020-08-03
1596499200000,389.82,403.64,380.67,386.27,250989.95459676,2020-08-04
1596585600000,401.21,408.0,383.86,389.76,208377.2177264,2020-08-05
1596672000000,395.28,404.03,391.0,401.21,147321.25541594,2020-08-06
1596758400000,379.75,398.57,362.88,395.28,258109.56327072,2020-08-07
1596844800000,397.51,400.06,376.18,379.76,109615.57796907,2020-08-08
1596931200000,390.41,401.0,384.02,397.5,144028.58904543,2020-08-09
1597017600000,395.78,400.21,385.44,390.41,198449.18038811,2020-08-10
1597104000000,378.88,398.3,364.77,395.77,231283.21718575,2020-08-11
1597190400000,387.27,389.57,365.19,378.92,193171.5051413,2020-08-12
1597276800000,424.94,432.94,376.46,387.27,363868.52826094,2020-08-13
1597363200000,438.83,445.45,417.52,425.0,320572.96388462,2020-08-14
1597449600000,432.55,443.33,428.0,438.83,170960.90077551,2020-08-15
1597536000000,433.7,437.0,412.51,432.67,198013.6894012,2020-08-16
1597622400000,431.5,447.5,420.5,433.71,221839.14358535,2020-08-17
1597708800000,422.31,434.27,414.44,431.5,148682.30738539,2020-08-18
1597795200000,407.59,426.97,393.75,422.31,212936.96902525,2020-08-19
1597881600000,415.92,419.58,402.3,407.6,146536.51021535,2020-08-20
1597968000000,388.05,418.92,385.0,415.92,218376.51497554,2020-08-21
1598054400000,395.62,399.73,379.53,388.0,145453.08931908,2020-08-22
1598140800000,390.9,400.0,383.67,395.52,79939.92783349,2020-08-23
1598227200000,407.76,411.97,387.72,390.78,153521.94600679,2020-08-24
1598313600000,383.33,409.31,369.36,407.76,189576.54223265,2020-08-25
1598400000000,386.1,393.5,377.56,383.26,131417.52221164,2020-08-26
1598486400000,383.25,397.15,371.5,386.12,121889.95194935,2020-08-27
1598572800000,395.47,398.16,379.67,383.27,123755.41938251,2020-08-28
1598659200000,398.58,405.82,392.34,395.35,89963.76995825,2020-08-29
1598745600000,428.94,429.9,398.24,398.57,170379.4456584,2020-08-30
1598832000000,433.89,439.0,418.16,428.92,168619.80537213,2020-08-31
1598918400000,475.57,488.95,429.66,433.88,333743.62207967,2020-09-01
1599004800000,440.02,481.2,420.58,475.57,320308.05438354,2020-09-02
1599091200000,382.87,451.0,370.0,439.99,407832.29146336,2020-09-03
1599177600000,388.96,400.5,359.0,382.15,286186.00739699,2020-09-04
1599264000000,335.25,394.38,310.0,389.2,607878.87819331,2020-09-05
1599350400000,352.77,360.61,316.43,335.25,266338.83290829,2020-09-06
1599436800000,353.71,358.66,323.17,352.85,215514.08931085,2020-09-07
1599523200000,337.48,357.01,325.36,353.71,209229.73612667,2020-09-08
1599609600000,351.1,359.41,330.6,337.48,166730.61512655,2020-09-09
1599696000000,368.06,377.79,350.23,351.11,217245.43576712,2020-09-10
1599782400000,373.93,375.38,355.81,367.94,132464.58690229,2020-09-11
1599868800000,387.81,388.25,364.88,373.93,109437.79363532,2020-09-12
1599955200000,366.58,390.41,353.58,387.82,164465.94392732,2020-09-13
1600041600000,377.28,384.61,355.66,366.58,190573.77197746,2020-09-14
1600128000000,364.2,382.76,362.5,377.27,170054.9627384,2020-09-15
1600214400000,365.23,373.37,355.0,364.05,130167.7980122,2020-09-16
1600300800000,389.45,394.55,363.4,365.22,212965.41279613,2020-09-17
1600387200000,384.64,392.69,375.19,389.52,163353.49313499,2020-09-18
1600473600000,385.23,388.43,377.2,384.6,70257.87733175,2020-09-19
1600560000000,370.69,385.31,364.89,385.25,89803.37071302,2020-09-20
1600646400000,340.11,376.76,331.0,371.03,266795.43383713,2020-09-21
1600732800000,344.26,346.84,335.57,340.36,125988.89838001,2020-09-22
1600819200000,320.63,344.64,313.0,344.25,190725.11444266,2020-09-23
