start_time,close,high,low,open,volume,datetime
1675915200000,1624.13,1627.41,1610.39,1619.24,6304.62659688,2023-02-09 04:00:00
1675918800000,1628.04,1630.2,1622.25,1624.12,6229.01455669,2023-02-09 05:00:00
1675922400000,1634.24,1636.72,1625.68,1628.01,3563.8775978,2023-02-09 06:00:00
1675926000000,1629.95,1635.74,1629.5,1634.25,1904.84691501,2023-02-09 07:00:00
1675929600000,1632.46,1637.3,1629.91,1629.95,2405.94057411,2023-02-09 08:00:00
1675933200000,1634.99,1636.22,1630.38,1632.44,1899.32356353,2023-02-09 09:00:00
1675936800000,1633.18,1635.3,1630.74,1634.99,1431.49908939,2023-02-09 10:00:00
1675940400000,1633.26,1639.8,1630.27,1633.18,2447.7186664,2023-02-09 11:00:00
1675944000000,1636.25,1643.3,1625.66,1633.22,4779.39404863,2023-02-09 12:00:00
1675947600000,1639.96,1642.62,1634.05,1636.17,4024.99414964,2023-02-09 13:00:00
1675951200000,1637.64,1649.78,1635.63,1639.97,6032.58129671,2023-02-09 14:00:00
1675954800000,1632.38,1640.08,1627.91,1637.67,10382.93709504,2023-02-09 15:00:00
1675958400000,1622.64,1633.78,1616.76,1632.34,10294.31013167,2023-02-09 16:00:00
1675962000000,1623.61,1629.57,1616.0,1622.73,6591.26707993,2023-02-09 17:00:00
1675965600000,1621.6,1630.94,1619.15,1623.58,7425.63081125,2023-02-09 18:00:00
1675969200000,1579.9,1622.48,1558.57,1621.58,34048.71651324,2023-02-09 19:00:00
1675972800000,1577.4,1582.72,1564.94,1579.9,11905.16518237,2023-02-09 20:00:00
1675976400000,1541.02,1578.39,1524.31,1577.65,29450.65890307,2023-02-09 21:00:00
1675980000000,1538.06,1549.46,1528.61,1541.03,10781.11814368,2023-02-09 22:00:00
1675983600000,1545.54,1550.06,1536.77,1538.21,6621.4869447,2023-02-09 23:00:00
1675987200000,1548.32,1554.45,1542.15,1545.64,5424.04328287,2023-02-10 00:00:00
1675990800000,1550.42,1553.15,1542.64,1548.84,7614.57513062,2023-02-10 01:00:00
1675994400000,1548.97,1551.18,1543.06,1550.42,3447.96481952,2023-02-10 02:00:00
1675998000000,1543.73,1549.56,1542.44,1549.05,3787.87590443,2023-02-10 03:00:00
1676001600000,1538.8,1545.46,1531.11,1543.73,7230.39262444,2023-02-10 04:00:00
1676005200000,1541.7,1547.18,1529.74,1538.77,10702.23838155,2023-02-10 05:00:00
1676008800000,1548.54,1549.26,1539.69,1541.69,4296.62390068,2023-02-10 06:00:00
1676012400000,1552.0,1553.25,1543.7,1548.55,3446.35736994,2023-02-10 07:00:00
1676016000000,1551.23,1554.89,1549.44,1552.03,5048.5584924,2023-02-10 08:00:00
1676019600000,1546.31,1552.92,1545.56,1551.23,2561.03629323,2023-02-10 09:00:00
1676023200000,1546.08,1547.57,1542.25,1546.29,2910.40027345,2023-02-10 10:00:00
1676026800000,1537.23,1546.1,1534.39,1546.1,6020.34261963,2023-02-10 11:00:00
1676030400000,1534.05,1542.75,1532.34,1537.23,6580.2557114,2023-02-10 12:00:00
1676034000000,1538.01,1542.78,1533.97,1534.06,5333.73744023,2023-02-10 13:00:00
1676037600000,1543.56,1548.11,1535.4,1537.92,5425.90337519,2023-02-10 14:00:00
1676041200000,1522.77,1548.18,1505.84,1543.71,25349.61115608,2023-02-10 15:00:00
1676044800000,1519.81,1534.28,1514.77,1522.77,22973.12208252,2023-02-10 16:00:00
1676048400000,1526.22,1526.53,1515.09,1519.8,8358.36550166,2023-02-10 17:00:00
1676052000000,1527.36,1528.81,1523.03,1526.28,7013.70033252,2023-02-10 18:00:00
1676055600000,1534.36,1538.79,1523.09,1527.36,19344.40183561,2023-02-10 19:00:00
1676059200000,1529.51,1535.53,1527.82,1534.36,12181.0339365,2023-02-10 20:00:00
1676062800000,1505.81,1529.77,1491.44,1529.53,21713.87172469,2023-02-10 21:00:00
1676066400000,1508.92,1516.76,1503.63,1505.58,7542.53844559,2023-02-10 22:00:00
1676070000000,1513.04,1518.55,1505.51,1508.92,4514.90682203,2023-02-10 23:00:00
1676073600000,1516.02,1518.22,1507.8,1513.04,3345.15065272,2023-02-11 00:00:00
1676077200000,1512.48,1518.81,1509.69,1516.02,2554.43263091,2023-02-11 01:00:00
1676080800000,1517.08,1517.09,1511.91,1512.48,2041.03761936,2023-02-11 02:00:00
1676084400000,1520.65,1523.77,1516.48,1517.01,1695.53220556,2023-02-11 03:00:00
1676088000000,1520.08,1521.46,1518.25,1520.62,1001.64290443,2023-02-11 04:00:00
1676091600000,1518.01,1521.74,1516.29,1520.09,1143.49842009,2023-02-11 05:00:00
1676095200000,1518.83,1519.64,1515.11,1518.0,882.49806118,2023-02-11 06:00:00
1676098800000,1520.81,1523.54,1516.01,1518.78,748.33453177,2023-02-11 07:00:00
1676102400000,1522.99,1526.21,1519.35,1520.83,1293.75258254,2023-02-11 08:00:00
1676106000000,1522.32,1525.02,1521.14,1523.0,1028.98949191,2023-02-11 09:00:00
1676109600000,1518.95,1522.59,1516.04,1522.33,1619.5750456,2023-02-11 10:00:00
1676113200000,1520.44,1520.85,1517.0,1519.09,496.97747094,2023-02-11 11:00:00
1676116800000,1519.55,1525.39,1515.21,1520.31,1274.60160966,2023-02-11 12:00:00
1676120400000,1523.31,1523.8,1518.3,1519.92,930.64892982,2023-02-11 13:00:00
1676124000000,1525.62,1527.11,1519.36,1523.31,1959.16687132,2023-02-11 14:00:00
