start_time,c,h,l,o,t,datetime
1682110800000,102823.03,103001.17,102701.09,102808.49,1682110800,2023-04-21 21:00:00
1682114400000,102418.92,103282.65,101836.46,102823.03,1682114400,2023-04-21 22:00:00
1682118000000,102377.22,102527.01,102067.59,102418.92,1682118000,2023-04-21 23:00:00
1682121600000,102989.99,102989.99,102377.22,102377.22,1682121600,2023-04-22 00:00:00
1682125200000,104043.66,104125.11,102989.99,102989.99,1682125200,2023-04-22 01:00:00
1682128800000,104535.95,104578.58,104043.66,104043.66,1682128800,2023-04-22 02:00:00
1682132400000,104716.31,104861.09,104508.24,104535.95,1682132400,2023-04-22 03:00:00
1682136000000,104717.22,104792.31,104646.68,104716.31,1682136000,2023-04-22 04:00:00
1682139600000,104588.85,104732.58,104418.67,104717.22,1682139600,2023-04-22 05:00:00
1682143200000,104891.53,104898.38,104544.23,104588.85,1682143200,2023-04-22 06:00:00
1682146800000,103839.78,104940.51,103795.85,104891.53,1682146800,2023-04-22 07:00:00
1682150400000,104033.69,104276.17,103526.82,103839.78,1682150400,2023-04-22 08:00:00
1682154000000,104503.86,104503.86,104033.69,104033.69,1682154000,2023-04-22 09:00:00
1682157600000,104795.41,105138.94,104450.29,104503.86,1682157600,2023-04-22 10:00:00
1682161200000,105357.21,105357.21,104795.41,104795.41,1682161200,2023-04-22 11:00:00
1682164800000,106514.77,106516.16,105357.21,105357.21,1682164800,2023-04-22 12:00:00
1682168400000,106376.87,106570.28,106002.86,106514.77,1682168400,2023-04-22 13:00:00
1682172000000,106365.12,106841.2,105573.93,106376.87,1682172000,2023-04-22 14:00:00
1682175600000,106932.02,106951.86,105768.54,106365.12,1682175600,2023-04-22 15:00:00
1682179200000,105889.01,107227.3,105412.27,106932.02,1682179200,2023-04-22 16:00:00
1682182800000,106562.77,106562.77,105666.2,105889.01,1682182800,2023-04-22 17:00:00
1682186400000,106216.43,106682.37,106005.65,106562.77,1682186400,2023-04-22 18:00:00
1682190000000,106425.99,106428.28,106207.39,106216.43,1682190000,2023-04-22 19:00:00
1682193600000,106852.79,106937.75,106389.19,106425.99,1682193600,2023-04-22 20:00:00
1682197200000,106709.14,106875.88,106575.98,106852.79,1682197200,2023-04-22 21:00:00
1682200800000,105346.36,106783.76,105281.1,106709.14,1682200800,2023-04-22 22:00:00
1682204400000,104767.34,105373.05,104437.02,105346.36,1682204400,2023-04-22 23:00:00
1682208000000,103490.95,104898.78,103146.7,104767.34,1682208000,2023-04-23 00:00:00
1682211600000,103727.09,103768.79,103357.73,103490.95,1682211600,2023-04-23 01:00:00
1682215200000,103815.82,104144.87,103612.62,103727.09,1682215200,2023-04-23 02:00:00
1682218800000,104337.02,104344.93,103815.82,103815.82,1682218800,2023-04-23 03:00:00
1682222400000,104494.5,104511.86,104328.34,104337.02,1682222400,2023-04-23 04:00:00
1682226000000,104716.73,104716.73,104494.5,104494.5,1682226000,2023-04-23 05:00:00
1682229600000,104961.27,104977.77,104716.73,104716.73,1682229600,2023-04-23 06:00:00
1682233200000,105507.49,105512.97,104950.63,104961.27,1682233200,2023-04-23 07:00:00
1682236800000,106027.4,106039.05,105413.37,105507.49,1682236800,2023-04-23 08:00:00
1682240400000,105774.65,106372.3,105570.7,106027.4,1682240400,2023-04-23 09:00:00
1682244000000,105781.41,106136.86,105288.37,105774.65,1682244000,2023-04-23 10:00:00
1682247600000,106137.97,106137.97,105781.41,105781.41,1682247600,2023-04-23 11:00:00
1682251200000,105966.67,106634.48,105966.67,106137.97,1682251200,2023-04-23 12:00:00
1682254800000,106036.51,106104.18,105834.83,105966.67,1682254800,2023-04-23 13:00:00
1682258400000,105938.53,106119.14,105631.39,106036.51,1682258400,2023-04-23 14:00:00
1682262000000,104893.81,106305.55,104389.86,105938.53,1682262000,2023-04-23 15:00:00
1682265600000,104391.94,105216.62,104057.32,104893.81,1682265600,2023-04-23 16:00:00
1682269200000,104275.23,104512.54,104218.99,104391.94,1682269200,2023-04-23 17:00:00
1682272800000,103273.44,104303.64,103126.36,104275.23,1682272800,2023-04-23 18:00:00
1682276400000,103512.92,103627.51,103253.83,103273.44,1682276400,2023-04-23 19:00:00
1682280000000,103602.08,103690.99,103398.03,103512.92,1682280000,2023-04-23 20:00:00
1682283600000,103671.75,103714.94,103398.52,103602.08,1682283600,2023-04-23 21:00:00
1682287200000,103267.62,103714.69,103159.91,103671.75,1682287200,2023-04-23 22:00:00
1682290800000,103424.45,103555.78,103267.62,103267.62,1682290800,2023-04-23 23:00:00
1682294400000,101595.82,103785.57,101494.05,103424.45,1682294400,2023-04-24 00:00:00
1682298000000,101759.98,102564.46,101342.6,101595.82,1682298000,2023-04-24 01:00:00
1682301600000,101763.17,102058.12,101610.47,101759.98,1682301600,2023-04-24 02:00:00
1682305200000,102270.79,102301.05,101763.17,101763.17,1682305200,2023-04-24 03:00:00
1682308800000,102535.24,102619.8,102270.79,102270.79,1682308800,2023-04-24 04:00:00
1682312400000,102501.7,102629.98,102298.48,102535.24,1682312400,2023-04-24 05:00:00
1682316000000,102236.27,102647.33,102082.82,102501.7,1682316000,2023-04-24 06:00:00
1682319600000,103824.88,103824.88,102236.27,102236.27,1682319600,2023-04-24 07:00:00
1682323200000,104481.99,104987.04,103824.88,103824.88,1682323200,2023-04-24 08:00:00
1682326800000,103980.02,104515.33,103892.88,104481.99,1682326800,2023-04-24 09:00:00
1682330400000,103659.21,103992.97,103659.21,103980.02,1682330400,2023-04-24 10:00:00
1682334000000,103458.98,103871.88,103369.82,103659.21,1682334000,2023-04-24 11:00:00
1682337600000,103865.85,103901.2,103330.73,103458.98,1682337600,2023-04-24 12:00:00
1682341200000,103655.69,104391.17,103424.51,103865.85,1682341200,2023-04-24 13:00:00
1682344800000,103904.34,104005.07,103040.21,103655.69,1682344800,2023-04-24 14:00:00
1682348400000,105418.83,105594.83,103854.44,103904.34,1682348400,2023-04-24 15:00:00
1682352000000,105977.6,105977.6,105002.68,105418.83,1682352000,2023-04-24 16:00:00
1682355600000,104507.3,106318.95,103995.21,105977.6,1682355600,2023-04-24 17:00:00
1682359200000,102193.55,104561.15,102191.92,104507.3,1682359200,2023-04-24 18:00:00
1682362800000,101980.52,102222.72,101910.96,102193.55,1682362800,2023-04-24 19:00:00
1682366400000,102080.2,102184.42,101980.52,101980.52,1682366400,2023-04-24 20:00:00
1682370000000,101897.89,102080.2,101761.89,102080.2,1682370000,2023-04-24 21:00:00
1682373600000,102068.5,102190.1,101897.89,101897.89,1682373600,2023-04-24 22:00:00
1682377200000,102573.04,102616.64,102060.25,102068.5,1682377200,2023-04-24 23:00:00
1682380800000,101769.14,102627.51,101718.8,102573.04,1682380800,2023-04-25 00:00:00
1682384400000,101610.85,101905.68,101578.82,101769.14,1682384400,2023-04-25 01:00:00
1682388000000,101501.61,101672.05,101381.17,101610.85,1682388000,2023-04-25 02:00:00
1682391600000,101359.44,101573.99,101288.85,101501.61,1682391600,2023-04-25 03:00:00
1682395200000,101489.83,101611.2,101359.44,101359.44,1682395200,2023-04-25 04:00:00
1682398800000,101401.15,101628.11,101237.33,101489.83,1682398800,2023-04-25 05:00:00
1682402400000,101553.25,101767.92,101401.15,101401.15,1682402400,2023-04-25 06:00:00
1682406000000,101609.39,101936.56,101257.03,101553.25,1682406000,2023-04-25 07:00:00
1682409600000,101978.84,102364.06,101609.39,101609.39,1682409600,2023-04-25 08:00:00
1682413200000,102344.08,102458.31,101978.84,101978.84,1682413200,2023-04-25 09:00:00
1682416800000,102642.29,102684.94,102344.08,102344.08,1682416800,2023-04-25 10:00:00
1682420400000,102624.69,102699.86,101927.58,102642.29,1682420400,2023-04-25 11:00:00
1682424000000,102629.82,102756.26,102564.41,102624.69,1682424000,2023-04-25 12:00:00
1682427600000,103033.94,103459.81,102629.82,102629.82,1682427600,2023-04-25 13:00:00
1682431200000,103359.32,103496.83,103005.78,103033.94,1682431200,2023-04-25 14:00:00
1682434800000,103365.58,103483.98,103233.83,103359.32,1682434800,2023-04-25 15:00:00
1682438400000,104312.46,104312.46,103323.19,103365.58,1682438400,2023-04-25 16:00:00
1682442000000,103686.81,104456.61,103629.04,104312.46,1682442000,2023-04-25 17:00:00
1682445600000,103497.64,104063.12,103440.36,103686.81,1682445600,2023-04-25 18:00:00
1682449200000,103094.21,103497.64,102801.8,103497.64,1682449200,2023-04-25 19:00:00
1682452800000,101891.72,103095.53,100705.18,103094.21,1682452800,2023-04-25 20:00:00
1682456400000,102385.86,102591.3,100344.66,101891.72,1682456400,2023-04-25 21:00:00
1682460000000,101967.32,102385.86,101449.59,102385.86,1682460000,2023-04-25 22:00:00
1682463600000,101865.37,102024.45,101382.69,101967.32,1682463600,2023-04-25 23:00:00
1682467200000,101798.77,102070.84,101355.22,101865.37,1682467200,2023-04-26 00:00:00
1682470800000,102228.21,102228.21,101740.34,101798.77,1682470800,2023-04-26 01:00:00
1682474400000,102521.3,102615.02,102228.21,102228.21,1682474400,2023-04-26 02:00:00
1682478000000,102740.01,102803.34,102463.14,102521.3,1682478000,2023-04-26 03:00:00
1682481600000,103010.53,103268.43,102740.01,102740.01,1682481600,2023-04-26 04:00:00
1682485200000,102895.03,103227.13,102855.79,103010.53,1682485200,2023-04-26 05:00:00
1682488800000,103408.34,103501.39,102303.15,102895.03,1682488800,2023-04-26 06:00:00
1682492400000,103733.18,103733.18,103133.8,103408.34,1682492400,2023-04-26 07:00:00
1682496000000,104423.96,104423.96,102229.36,103733.18,1682496000,2023-04-26 08:00:00
1682499600000,105499.88,105764.49,103916.27,104423.96,1682499600,2023-04-26 09:00:00
1682503200000,107348.73,107477.45,105499.88,105499.88,1682503200,2023-04-26 10:00:00
1682506800000,108102.57,108762.69,107348.73,107348.73,1682506800,2023-04-26 11:00:00
1682510400000,104889.08,109129.24,104445.36,108102.57,1682510400,2023-04-26 12:00:00
1682514000000,103532.14,105322.66,103377.2,104889.08,1682514000,2023-04-26 13:00:00
1682517600000,103432.65,104924.04,102847.21,103532.14,1682517600,2023-04-26 14:00:00
1682521200000,104912.05,105010.98,103419.56,103432.65,1682521200,2023-04-26 15:00:00
1682524800000,105216.04,105569.87,104579.73,104912.05,1682524800,2023-04-26 16:00:00
1682528400000,104694.99,105321.93,104428.22,105216.04,1682528400,2023-04-26 17:00:00
1682532000000,105086.27,105159.04,104654.73,104694.99,1682532000,2023-04-26 18:00:00
1682535600000,93877.62,105140.82,92482.12,105086.27,1682535600,2023-04-26 19:00:00
1682539200000,91466.97,93877.62,89962.48,93877.62,1682539200,2023-04-26 20:00:00
1682542800000,91535.43,92148.03,90566.01,91466.97,1682542800,2023-04-26 21:00:00
1682546400000,91623.06,92337.75,91369.59,91535.43,1682546400,2023-04-26 22:00:00
1682550000000,92530.63,92530.63,91600.83,91623.06,1682550000,2023-04-26 23:00:00
1682553600000,92302.21,93350.15,91536.71,92530.63,1682553600,2023-04-27 00:00:00
1682557200000,90521.47,92383.52,89702.82,92302.21,1682557200,2023-04-27 01:00:00
