start_time,c,h,l,o,t,datetime
1682110800000,836389.86,841132.54,833225.11,837503.92,1682110800,2023-04-21 21:00:00
1682114400000,838426.41,838882.44,834867.31,836389.86,1682114400,2023-04-21 22:00:00
1682118000000,845706.47,845706.47,838426.41,838426.41,1682118000,2023-04-21 23:00:00
1682121600000,847132.8,848345.12,845706.47,845706.47,1682121600,2023-04-22 00:00:00
1682125200000,853152.22,853526.73,846936.35,847132.8,1682125200,2023-04-22 01:00:00
1682128800000,851734.98,854128.2,851734.98,853152.22,1682128800,2023-04-22 02:00:00
1682132400000,845855.88,851859.49,845855.88,851734.98,1682132400,2023-04-22 03:00:00
1682136000000,845748.46,846555.97,844925.24,845855.88,1682136000,2023-04-22 04:00:00
1682139600000,843891.38,845844.38,843373.06,845748.46,1682139600,2023-04-22 05:00:00
1682143200000,839009.67,843891.38,837940.94,843891.38,1682143200,2023-04-22 06:00:00
1682146800000,837482.79,839278.63,836762.84,839009.67,1682146800,2023-04-22 07:00:00
1682150400000,835809.86,838535.36,834534.26,837482.79,1682150400,2023-04-22 08:00:00
1682154000000,847782.19,848045.96,835809.86,835809.86,1682154000,2023-04-22 09:00:00
1682157600000,845854.65,848194.71,844463.59,847782.19,1682157600,2023-04-22 10:00:00
1682161200000,849381.15,849381.15,845738.72,845854.65,1682161200,2023-04-22 11:00:00
1682164800000,852581.64,852809.36,849381.15,849381.15,1682164800,2023-04-22 12:00:00
1682168400000,852285.33,854006.31,851534.95,852581.64,1682168400,2023-04-22 13:00:00
1682172000000,849606.64,855029.94,848577.11,852285.33,1682172000,2023-04-22 14:00:00
1682175600000,847541.59,850252.89,844268.91,849606.64,1682175600,2023-04-22 15:00:00
1682179200000,845775.81,848764.13,843752.06,847541.59,1682179200,2023-04-22 16:00:00
1682182800000,847569.16,847897.31,843909.46,845775.81,1682182800,2023-04-22 17:00:00
1682186400000,843857.24,850484.84,843857.24,847569.16,1682186400,2023-04-22 18:00:00
1682190000000,842989.87,845115.61,842989.87,843857.24,1682190000,2023-04-22 19:00:00
1682193600000,839526.3,843120.54,839526.3,842989.87,1682193600,2023-04-22 20:00:00
1682197200000,834154.83,839526.3,833617.15,839526.3,1682197200,2023-04-22 21:00:00
1682200800000,841202.45,841395.19,834154.83,834154.83,1682200800,2023-04-22 22:00:00
1682204400000,847434.83,847471.3,841202.45,841202.45,1682204400,2023-04-22 23:00:00
1682208000000,847015.84,851647.08,838172.89,847434.83,1682208000,2023-04-23 00:00:00
1682211600000,849825.02,851046.97,847015.84,847015.84,1682211600,2023-04-23 01:00:00
1682215200000,851433.54,852731.29,849221.12,849825.02,1682215200,2023-04-23 02:00:00
1682218800000,848260.51,852882.22,846531.43,851433.54,1682218800,2023-04-23 03:00:00
1682222400000,850795.64,851055.85,848005.86,848260.51,1682222400,2023-04-23 04:00:00
1682226000000,850045.02,850976.39,849033,850795.64,1682226000,2023-04-23 05:00:00
1682229600000,852256.13,853019.94,850045.02,850045.02,1682229600,2023-04-23 06:00:00
1682233200000,856614.14,856614.14,852008.02,852256.13,1682233200,2023-04-23 07:00:00
1682236800000,867050.58,867521.32,856614.14,856614.14,1682236800,2023-04-23 08:00:00
1682240400000,866160.59,867180.47,865245.89,867050.58,1682240400,2023-04-23 09:00:00
1682244000000,869381.73,870235.93,866160.59,866160.59,1682244000,2023-04-23 10:00:00
1682247600000,874278.27,874278.27,869290.11,869381.73,1682247600,2023-04-23 11:00:00
1682251200000,880231.04,880231.04,874081.19,874278.27,1682251200,2023-04-23 12:00:00
1682254800000,881277.77,881319.83,879402.67,880231.04,1682254800,2023-04-23 13:00:00
1682258400000,873702.02,881277.77,873000.09,881277.77,1682258400,2023-04-23 14:00:00
1682262000000,876536.03,876888.03,869954.11,873702.02,1682262000,2023-04-23 15:00:00
1682265600000,879735.56,883887.17,876536.03,876536.03,1682265600,2023-04-23 16:00:00
1682269200000,877962.14,882125.44,877394.78,879735.56,1682269200,2023-04-23 17:00:00
1682272800000,863384.65,877962.14,862419.2,877962.14,1682272800,2023-04-23 18:00:00
1682276400000,863132.95,867396.44,862831.3,863384.65,1682276400,2023-04-23 19:00:00
1682280000000,865606.62,865978.07,863132.95,863132.95,1682280000,2023-04-23 20:00:00
1682283600000,864356.85,867316.36,863016.08,865606.62,1682283600,2023-04-23 21:00:00
1682287200000,859561.58,866496.59,859272.62,864356.85,1682287200,2023-04-23 22:00:00
1682290800000,863694.91,863849.21,859294.28,859561.58,1682290800,2023-04-23 23:00:00
1682294400000,853494.23,866710.8,849924.1,863694.91,1682294400,2023-04-24 00:00:00
1682298000000,847152.93,855801.07,847052.09,853494.23,1682298000,2023-04-24 01:00:00
1682301600000,853128.1,853128.1,847152.93,847152.93,1682301600,2023-04-24 02:00:00
1682305200000,854061.08,854171.12,851498.98,853128.1,1682305200,2023-04-24 03:00:00
1682308800000,854907.81,855594.24,853219.16,854061.08,1682308800,2023-04-24 04:00:00
1682312400000,857041.03,857968.99,854907.81,854907.81,1682312400,2023-04-24 05:00:00
1682316000000,862927.55,862927.55,856719.12,857041.03,1682316000,2023-04-24 06:00:00
1682319600000,881405.21,881416.11,862927.55,862927.55,1682319600,2023-04-24 07:00:00
1682323200000,883325.7,883457.98,874352.66,881405.21,1682323200,2023-04-24 08:00:00
1682326800000,883534.65,885280.91,883325.7,883325.7,1682326800,2023-04-24 09:00:00
1682330400000,882689.63,884531.4,881691.58,883534.65,1682330400,2023-04-24 10:00:00
1682334000000,877585.07,886067.42,876932.34,882689.63,1682334000,2023-04-24 11:00:00
1682337600000,874426.48,877821.64,870758.36,877585.07,1682337600,2023-04-24 12:00:00
1682341200000,857233.75,876792.35,856947.13,874426.48,1682341200,2023-04-24 13:00:00
1682344800000,848031.76,859295.06,847446.62,857233.75,1682344800,2023-04-24 14:00:00
1682348400000,853666.72,853666.72,845451.77,848031.76,1682348400,2023-04-24 15:00:00
1682352000000,867152.06,870582.62,849702.45,853666.72,1682352000,2023-04-24 16:00:00
1682355600000,855142.34,868682.02,852159.88,867152.06,1682355600,2023-04-24 17:00:00
