start_time,c,h,l,o,t,datetime
1682110800000,56673.34,56694.85,56287.12,56287.12,1682110800,2023-04-21 21:00:00
1682114400000,55776.81,56908.29,55384.26,56673.34,1682114400,2023-04-21 22:00:00
1682118000000,55532.2,55835.42,55532.2,55776.81,1682118000,2023-04-21 23:00:00
1682121600000,55980.71,55980.71,55532.2,55532.2,1682121600,2023-04-22 00:00:00
1682125200000,55922.65,56144.66,55822.39,55980.71,1682125200,2023-04-22 01:00:00
1682128800000,55691.13,55966.66,55612.71,55922.65,1682128800,2023-04-22 02:00:00
1682132400000,56218.96,56232.99,55638.2,55691.13,1682132400,2023-04-22 03:00:00
1682136000000,56687.36,56701.9,56218.96,56218.96,1682136000,2023-04-22 04:00:00
1682139600000,56543,56719.53,56520.4,56687.36,1682139600,2023-04-22 05:00:00
1682143200000,56599.4,56667.35,56483.37,56543,1682143200,2023-04-22 06:00:00
1682146800000,56599.62,56750.51,56427.02,56599.4,1682146800,2023-04-22 07:00:00
1682150400000,56944.14,57028.52,56599.62,56599.62,1682150400,2023-04-22 08:00:00
1682154000000,57209,57209,56936.02,56944.14,1682154000,2023-04-22 09:00:00
1682157600000,57526.17,57839.56,57209,57209,1682157600,2023-04-22 10:00:00
1682161200000,56811.67,57529.97,56675.23,57526.17,1682161200,2023-04-22 11:00:00
1682164800000,57324.05,57324.05,56786.09,56811.67,1682164800,2023-04-22 12:00:00
1682168400000,57397.25,57631.32,57303.67,57324.05,1682168400,2023-04-22 13:00:00
1682172000000,56945.05,57526.06,56153.53,57397.25,1682172000,2023-04-22 14:00:00
1682175600000,57522.53,57522.53,56440,56945.05,1682175600,2023-04-22 15:00:00
1682179200000,57795.05,57865.53,57171.74,57522.53,1682179200,2023-04-22 16:00:00
1682182800000,57504.01,57847.16,57307.01,57795.05,1682182800,2023-04-22 17:00:00
1682186400000,56819.21,57649.48,56819.21,57504.01,1682186400,2023-04-22 18:00:00
1682190000000,56910.71,56984.28,56792.08,56819.21,1682190000,2023-04-22 19:00:00
1682193600000,57146.62,57225.12,56810.31,56910.71,1682193600,2023-04-22 20:00:00
1682197200000,57104.94,57191.08,56865.66,57146.62,1682197200,2023-04-22 21:00:00
1682200800000,56830.05,57465.36,56338.15,57104.94,1682200800,2023-04-22 22:00:00
1682204400000,57082.67,57094.39,56830.05,56830.05,1682204400,2023-04-22 23:00:00
1682208000000,54919.1,57130.2,54808.05,57082.67,1682208000,2023-04-23 00:00:00
1682211600000,54707.22,54957.61,54592.69,54919.1,1682211600,2023-04-23 01:00:00
1682215200000,54826.33,54857.05,54671.17,54707.22,1682215200,2023-04-23 02:00:00
1682218800000,55109.72,55154.44,54824.46,54826.33,1682218800,2023-04-23 03:00:00
1682222400000,55424.52,55434.15,55109.72,55109.72,1682222400,2023-04-23 04:00:00
1682226000000,55351.44,55444.65,55202.04,55424.52,1682226000,2023-04-23 05:00:00
1682229600000,55581.5,55625.11,55300,55351.44,1682229600,2023-04-23 06:00:00
1682233200000,56091.15,56091.15,55301.39,55581.5,1682233200,2023-04-23 07:00:00
