start_time,c,h,l,o,t,datetime
1682110800000,450248.51,451862.09,448401.46,448775.94,1682110800,2023-04-21 21:00:00
1682114400000,447065.19,450248.51,445828.11,450248.51,1682114400,2023-04-21 22:00:00
1682118000000,447515.42,448371.21,446796.81,447065.19,1682118000,2023-04-21 23:00:00
1682121600000,447465.7,450138.58,447456.91,447515.42,1682121600,2023-04-22 00:00:00
1682125200000,446108.34,447520.73,445836.69,447465.7,1682125200,2023-04-22 01:00:00
1682128800000,445926.69,446618.4,445035.26,446108.34,1682128800,2023-04-22 02:00:00
1682132400000,446383.26,447345.92,444618.66,445926.69,1682132400,2023-04-22 03:00:00
1682136000000,447000.17,447612.45,446357.49,446383.26,1682136000,2023-04-22 04:00:00
1682139600000,448783.67,449533.96,446690.56,447000.17,1682139600,2023-04-22 05:00:00
1682143200000,450399.87,451627.51,448783.67,448783.67,1682143200,2023-04-22 06:00:00
1682146800000,449397.81,450399.87,448789.47,450399.87,1682146800,2023-04-22 07:00:00
1682150400000,447721.92,449397.81,447159.41,449397.81,1682150400,2023-04-22 08:00:00
1682154000000,450322.43,450399.81,447721.92,447721.92,1682154000,2023-04-22 09:00:00
1682157600000,448820.4,451407.74,448600.79,450322.43,1682157600,2023-04-22 10:00:00
1682161200000,450164.78,450210.45,446731.82,448820.4,1682161200,2023-04-22 11:00:00
1682164800000,452849.98,452940.83,449932.66,450164.78,1682164800,2023-04-22 12:00:00
1682168400000,451509.65,454044.16,450508.06,452849.98,1682168400,2023-04-22 13:00:00
1682172000000,453327.01,453401.65,451269.73,451509.65,1682172000,2023-04-22 14:00:00
1682175600000,455612.84,456025.42,452103.55,453327.01,1682175600,2023-04-22 15:00:00
1682179200000,453903.1,456781.25,452808.48,455612.84,1682179200,2023-04-22 16:00:00
1682182800000,455351.81,455992.48,453161.16,453903.1,1682182800,2023-04-22 17:00:00
1682186400000,454960.22,456928.74,453347.48,455351.81,1682186400,2023-04-22 18:00:00
1682190000000,454189.67,454960.22,453001,454960.22,1682190000,2023-04-22 19:00:00
1682193600000,452533.3,454823.96,452368.19,454189.67,1682193600,2023-04-22 20:00:00
1682197200000,447943.23,452533.3,447896.72,452533.3,1682197200,2023-04-22 21:00:00
1682200800000,451079.08,451079.08,446238.06,447943.23,1682200800,2023-04-22 22:00:00
1682204400000,452644.41,452644.41,451079.08,451079.08,1682204400,2023-04-22 23:00:00
1682208000000,441680.57,454489.65,441680.57,452644.41,1682208000,2023-04-23 00:00:00
1682211600000,441951,441951,439453.12,441680.57,1682211600,2023-04-23 01:00:00
1682215200000,444279.43,444621.34,441522.96,441951,1682215200,2023-04-23 02:00:00
1682218800000,443686.36,445175.21,442884.02,444279.43,1682218800,2023-04-23 03:00:00
1682222400000,444081.8,444129.6,443228.21,443686.36,1682222400,2023-04-23 04:00:00
1682226000000,443381.91,444317.68,442477.16,444081.8,1682226000,2023-04-23 05:00:00
1682229600000,445102.07,445667.81,443253.76,443381.91,1682229600,2023-04-23 06:00:00
1682233200000,448274.11,448812.84,444249.6,445102.07,1682233200,2023-04-23 07:00:00
1682236800000,446126.44,448813.24,446126.44,448274.11,1682236800,2023-04-23 08:00:00
1682240400000,445624.98,447937.34,445502.62,446126.44,1682240400,2023-04-23 09:00:00
1682244000000,442981.88,446369.29,442863.81,445624.98,1682244000,2023-04-23 10:00:00
1682247600000,443275.44,443837.39,441405.52,442981.88,1682247600,2023-04-23 11:00:00
1682251200000,441399.16,444115.42,439525.41,443275.44,1682251200,2023-04-23 12:00:00
1682254800000,443485.78,443485.78,439644.33,441399.16,1682254800,2023-04-23 13:00:00
1682258400000,443743.65,444393.01,442311.08,443485.78,1682258400,2023-04-23 14:00:00
1682262000000,445299.67,446007.35,441873.46,443743.65,1682262000,2023-04-23 15:00:00
1682265600000,442906.19,447326.28,441449.49,445299.67,1682265600,2023-04-23 16:00:00
1682269200000,443484.03,445369.82,442135.99,442906.19,1682269200,2023-04-23 17:00:00
1682272800000,441075.72,446072.29,440513.17,443484.03,1682272800,2023-04-23 18:00:00
1682276400000,443578.14,443985.37,440188.83,441075.72,1682276400,2023-04-23 19:00:00
1682280000000,443438.89,444546.64,442529.41,443578.14,1682280000,2023-04-23 20:00:00
1682283600000,446618.16,447918.25,443166.96,443438.89,1682283600,2023-04-23 21:00:00
1682287200000,447385.63,447518.99,445020.3,446618.16,1682287200,2023-04-23 22:00:00
1682290800000,448145.37,449375.68,447385.63,447385.63,1682290800,2023-04-23 23:00:00
1682294400000,442030.8,448634.06,440256.22,448145.37,1682294400,2023-04-24 00:00:00
1682298000000,438852.63,442030.8,437044.18,442030.8,1682298000,2023-04-24 01:00:00
1682301600000,438319.74,439676.83,437929.8,438852.63,1682301600,2023-04-24 02:00:00
1682305200000,438682.83,439191.57,438034.99,438319.74,1682305200,2023-04-24 03:00:00
1682308800000,440101.99,440214.94,438682.83,438682.83,1682308800,2023-04-24 04:00:00
1682312400000,440830.93,441510.71,439919.63,440101.99,1682312400,2023-04-24 05:00:00
1682316000000,441323.16,442238.11,439964.91,440830.93,1682316000,2023-04-24 06:00:00
1682319600000,448582.82,451255.22,441323.16,441323.16,1682319600,2023-04-24 07:00:00
1682323200000,449972.27,450664.9,445334.98,448582.82,1682323200,2023-04-24 08:00:00
1682326800000,451459.22,451804.04,448432.74,449972.27,1682326800,2023-04-24 09:00:00
1682330400000,454473.31,455216.44,451459.22,451459.22,1682330400,2023-04-24 10:00:00
1682334000000,453749.57,455370.05,450903.9,454473.31,1682334000,2023-04-24 11:00:00
1682337600000,453839.75,454065.19,451623.12,453749.57,1682337600,2023-04-24 12:00:00
1682341200000,453883.77,457616.32,448683.06,453839.75,1682341200,2023-04-24 13:00:00
1682344800000,443094.57,454587.31,442898.23,453883.77,1682344800,2023-04-24 14:00:00
