start_time,datetime,inflow_mean,inflow_mean_ma7,inflow_top10,inflow_total
1740715200000,2025-02-28 04:00:00,2.06421378,1.04440815,3823.88316828,4551.59138652
1740718800000,2025-02-28 05:00:00,0.59847743,0.97294596,1276.79149506,1432.75496843
1740722400000,2025-02-28 06:00:00,1.13819733,1.0725985,2242.83084574,3077.68556842
1740726000000,2025-02-28 07:00:00,0.65798848,1.10768341,694.5541964,716.54945908
1740729600000,2025-02-28 08:00:00,1.22144511,1.17030109,3645.34373751,4171.23506377
1740733200000,2025-02-28 09:00:00,1.22926616,1.14608273,2934.2319062,3228.0529295
1740736800000,2025-02-28 10:00:00,1.89536427,1.25785037,4315.32924946,5174.34446793
1740740400000,2025-02-28 11:00:00,1.33741027,1.15402129,3968.17729455,4101.83729554
1740744000000,2025-02-28 12:00:00,0.84542197,1.18929908,2017.79525808,2268.26715759
1740747600000,2025-02-28 13:00:00,0.40244355,1.0841914,721.1628661,771.88672436
1740751200000,2025-02-28 14:00:00,1.17917187,1.15864617,2549.94243738,2601.2531403
1740754800000,2025-02-28 15:00:00,1.24819544,1.16246765,4487.78472645,5634.35421556
1740758400000,2025-02-28 16:00:00,1.11126326,1.14561009,2948.04077586,3528.26085865
1740762000000,2025-02-28 17:00:00,0.92072634,1.0063761,3088.59754569,3311.85262704
1740765600000,2025-02-28 18:00:00,0.78891185,0.92801918,1762.20461846,1936.77858043
1740769200000,2025-02-28 19:00:00,0.84011593,0.92726118,2850.57127483,2983.25165697
1740772800000,2025-02-28 20:00:00,1.23477671,1.04616591,3958.60990025,4166.13662346
1740776400000,2025-02-28 21:00:00,0.32197308,0.92370894,563.78596486,585.99100597
1740780000000,2025-02-28 22:00:00,1.74825187,0.99514558,4781.3170868,4856.64370469
1740783600000,2025-02-28 23:00:00,0.32249088,0.88246381,527.14520333,544.36460102
1740787200000,2025-03-01 00:00:00,0.49741806,0.8219912,642.57889462,656.09441649
1740790800000,2025-03-01 01:00:00,0.33356856,0.75694216,768.37136555,943.99902339
1740794400000,2025-03-01 02:00:00,0.87667086,0.76216429,1664.97447301,1709.50818144
1740798000000,2025-03-01 03:00:00,0.9519389,0.72175889,2025.18162417,2059.9957853
1740801600000,2025-03-01 04:00:00,0.61458833,0.76356107,621.48529133,635.48433466
1740805200000,2025-03-01 05:00:00,0.55703455,0.59338716,1347.98004685,1398.71376206
1740808800000,2025-03-01 06:00:00,0.33110289,0.59461745,375.13451653,392.35692348
1740812400000,2025-03-01 07:00:00,0.94757918,0.65892618,2390.50394541,2431.4881674
1740816000000,2025-03-01 08:00:00,0.62835586,0.70103865,996.63242707,1011.02458173
1740819600000,2025-03-01 09:00:00,0.63404542,0.66637788,539.62973407,544.01097343
1740823200000,2025-03-01 10:00:00,0.26791825,0.56866064,496.30430194,599.06520843
1740826800000,2025-03-01 11:00:00,0.88618631,0.60746035,1678.32998479,1699.70534356
1740830400000,2025-03-01 12:00:00,1.31710344,0.71604162,2501.57353771,2565.71749559
1740834000000,2025-03-01 13:00:00,0.31376043,0.71356413,744.78765613,781.26347257
1740837600000,2025-03-01 14:00:00,0.3600243,0.62962772,948.87929674,986.46658274
1740841200000,2025-03-01 15:00:00,0.36411186,0.59187857,561.37890407,575.29674632
1740844800000,2025-03-01 16:00:00,0.6702939,0.59705693,1987.67639704,2026.96876752
1740848400000,2025-03-01 17:00:00,0.34048641,0.60742381,1050.49207529,1082.74678656
1740852000000,2025-03-01 18:00:00,0.92128007,0.6124372,2312.23950917,2352.02802375
1740855600000,2025-03-01 19:00:00,0.26321039,0.46188105,680.66646869,703.82459298
1740859200000,2025-03-01 20:00:00,0.60732316,0.50381858,1158.59365296,1175.17031911
1740862800000,2025-03-01 21:00:00,0.51640415,0.52615856,1287.87567111,1309.60093561
1740866400000,2025-03-01 22:00:00,0.58665146,0.55794993,1389.61287423,1416.17663624
1740870000000,2025-03-01 23:00:00,0.52502779,0.53719763,935.88658784,949.77527387
1740873600000,2025-03-02 00:00:00,0.53177955,0.56452522,812.66997467,824.25830809
1740877200000,2025-03-02 01:00:00,0.77417738,0.54351055,1327.11055113,1345.52028755
1740880800000,2025-03-02 02:00:00,0.62020749,0.59451014,1239.7093824,1281.34866585
1740884400000,2025-03-02 03:00:00,0.70772697,0.60885354,979.00840243,992.23321189
1740888000000,2025-03-02 04:00:00,0.44686925,0.59891998,547.35208483,558.13969712
1740891600000,2025-03-02 05:00:00,0.36645459,0.56746329,517.25827973,536.85596746
1740895200000,2025-03-02 06:00:00,0.9771947,0.63205856,1170.82015718,1179.47400457
1740898800000,2025-03-02 07:00:00,0.44598141,0.61980168,474.45246997,479.87600204
1740902400000,2025-03-02 08:00:00,0.25037921,0.54497337,546.33872914,566.8585287
1740906000000,2025-03-02 09:00:00,0.36361102,0.50831674,570.90571034,581.05041542
