start_time,datetime,outflow_mean,outflow_mean_ma7,outflow_top10,outflow_total
1740715200000,2025-02-28 04:00:00,5.47875682,6.0626876,1739.25828397,1955.91618554
1740718800000,2025-02-28 05:00:00,6.05593018,6.04724018,1954.91714471,2216.47044764
1740722400000,2025-02-28 06:00:00,7.38060466,6.4687488,2356.91306386,2597.97283915
1740726000000,2025-02-28 07:00:00,2.18907691,6.1738692,584.79246018,595.42891902
1740729600000,2025-02-28 08:00:00,5.06815454,6.25492337,2182.82964448,2447.91864481
1740733200000,2025-02-28 09:00:00,5.66829648,5.76240278,2100.86425582,2216.30392272
1740736800000,2025-02-28 10:00:00,9.05639056,5.84245859,3606.99606089,3785.57125437
1740740400000,2025-02-28 11:00:00,10.80887873,6.60390458,4724.33664426,5447.67488118
1740744000000,2025-02-28 12:00:00,3.27785727,6.20703702,1200.44927572,1317.69862243
1740747600000,2025-02-28 13:00:00,4.65957305,5.81831822,1311.09695178,1351.27618333
1740751200000,2025-02-28 14:00:00,5.14902135,6.24116743,1492.77387399,1565.30248898
1740754800000,2025-02-28 15:00:00,16.4776075,7.87108928,7844.75961584,10001.90775215
1740758400000,2025-02-28 16:00:00,12.87438141,8.90052998,4532.56521638,5252.74761488
1740762000000,2025-02-28 17:00:00,8.71164545,8.85128068,3091.11452881,3310.42526996
1740765600000,2025-02-28 18:00:00,6.97885934,8.30413505,1643.44225838,1688.8839591
1740769200000,2025-02-28 19:00:00,9.23196146,9.15472137,3700.06144509,3840.49596708
1740772800000,2025-02-28 20:00:00,6.64366267,9.43816274,2987.68904604,3056.08482622
1740776400000,2025-02-28 21:00:00,11.45970011,10.33968828,2699.01329797,2715.94892611
1740780000000,2025-02-28 22:00:00,8.2791426,9.16847901,2578.69453094,2632.76734824
1740783600000,2025-02-28 23:00:00,8.29786457,8.51469089,2008.21337008,2032.9768196
1740787200000,2025-03-01 00:00:00,6.03253194,8.13196038,1255.87664337,1496.06792151
1740790800000,2025-03-01 01:00:00,4.61668348,7.79450669,1376.8875454,1417.32182685
1740794400000,2025-03-01 02:00:00,5.69739965,7.28956929,1390.36868239,1458.5343097
1740798000000,2025-03-01 03:00:00,3.92301229,6.90090495,1080.55686872,1129.82753967
1740801600000,2025-03-01 04:00:00,2.71691324,5.6519354,398.04864138,402.10316003
1740805200000,2025-03-01 05:00:00,4.57573653,5.12287739,1604.58678914,1784.53724602
1740808800000,2025-03-01 06:00:00,4.22147829,4.54053649,748.53773334,764.08757122
1740812400000,2025-03-01 07:00:00,5.1601517,4.41591074,1807.34734697,1873.13506836
1740816000000,2025-03-01 08:00:00,4.36535912,4.38000726,915.99992036,969.10972458
1740819600000,2025-03-01 09:00:00,13.88965452,5.55032938,1568.35793548,1569.53096109
1740823200000,2025-03-01 10:00:00,3.46407814,5.48476736,1393.86379874,1544.97885198
1740826800000,2025-03-01 11:00:00,7.05544738,6.10455795,1731.67862946,1792.08363573
1740830400000,2025-03-01 12:00:00,2.75087781,5.84386385,621.5272666,668.46330889
