start_time,coinbase_premium_gap,coinbase_premium_gap_usdt_adjusted,coinbase_premium_index,coinbase_premium_index_usdt_adjusted,datetime
1726315200000,17.77,-41.75854451,0.02971869,-0.06990684,2024-09-14 12:00:00
1726318800000,19.81,-81.797487,0.03314421,-0.13708844,2024-09-14 13:00:00
1726322400000,18.52,-4.91895594,0.03091097,-0.00821324,2024-09-14 14:00:00
1726326000000,22.04,8.42659264,0.03680941,0.01407661,2024-09-14 15:00:00
1726329600000,17.23,1.0348627,0.02872529,0.00172575,2024-09-14 16:00:00
1726333200000,21.14,5.35783858,0.03530084,0.0089492,2024-09-14 17:00:00
1726336800000,9.19,-5.15864,0.01537149,-0.00863058,2024-09-14 18:00:00
1726340400000,16.1,1.2575504,0.02691858,0.0021031,2024-09-14 19:00:00
1726344000000,2.79,-6.2136015,0.00464814,-0.01035341,2024-09-14 20:00:00
1726347600000,6.13,-13.07971892,0.01021054,-0.02179343,2024-09-14 21:00:00
1726351200000,24.36,7.5580484,0.04059528,0.01259881,2024-09-14 22:00:00
1726354800000,19.32,2.5219516,0.03220374,0.00420492,2024-09-14 23:00:00
1726358400000,20.45,20.45,0.0340686,0.0340686,2024-09-15 00:00:00
1726362000000,14.83,2.782956,0.02462015,0.00462107,2024-09-15 01:00:00
1726365600000,11.68,-2.7771224,0.01938975,-0.00461136,2024-09-15 02:00:00
1726369200000,31.3,17.4641361,0.05203145,0.02903812,2024-09-15 03:00:00
1726372800000,27.47,-12.18262384,0.04569348,-0.02027789,2024-09-15 04:00:00
1726376400000,8.16,-5.6768,0.01356383,-0.00943834,2024-09-15 05:00:00
1726380000000,6.96,0.3419589,0.01156838,0.00056844,2024-09-15 06:00:00
1726383600000,8.14,-118.2716,0.01352249,-0.19689011,2024-09-15 07:00:00
1726387200000,14.86,-117.293978,0.02473781,-0.19569177,2024-09-15 08:00:00
1726390800000,4.01,-7.79634752,0.00668155,-0.012993,2024-09-15 09:00:00
1726394400000,7.7,-0.098869,0.01283519,-0.00016483,2024-09-15 10:00:00
1726398000000,15.5,7.0999286,0.02583311,0.01183477,2024-09-15 11:00:00
1726401600000,11.83,0.72751708,0.01968242,0.00121065,2024-09-15 12:00:00
1726405200000,14.68,-98.50545169,0.02438944,-0.16396531,2024-09-15 13:00:00
1726408800000,6.69,-1.7491328,0.0110983,-0.00290211,2024-09-15 14:00:00
1726412400000,8.04,-97.33760363,0.01332551,-0.16160926,2024-09-15 15:00:00
1726416000000,9.83,-63.36421505,0.01639698,-0.10582406,2024-09-15 16:00:00
1726419600000,16.56,-64.42645636,0.02768579,-0.10785704,2024-09-15 17:00:00
1726423200000,14.02,1.4260711,0.02337793,0.00237843,2024-09-15 18:00:00
1726426800000,10.76,4.99971524,0.01796981,0.00835061,2024-09-15 19:00:00
1726430400000,5.7,-14.73288774,0.00953241,-0.02464701,2024-09-15 20:00:00
1726434000000,2.91,1.7169662,0.00487832,0.00287838,2024-09-15 21:00:00
1726437600000,-1.45,-2.0443031,-0.00243983,-0.00343987,2024-09-15 22:00:00
1726441200000,-9.67,-13.89675536,-0.01635324,-0.02350292,2024-09-15 23:00:00
1726444800000,-5.2,-3.18011723,-0.00886368,-0.0054205,2024-09-16 00:00:00
1726448400000,-0.19,-1.09313495,-0.00032419,-0.00186522,2024-09-16 01:00:00
1726452000000,-1.37,-1.22725322,-0.00235137,-0.00210636,2024-09-16 02:00:00
1726455600000,-7.9,-1.50887193,-0.01348696,-0.00257568,2024-09-16 03:00:00
1726459200000,-6.22,-2.6576104,-0.01065945,-0.00455417,2024-09-16 04:00:00
1726462800000,-2.17,0.7992887,-0.00369865,0.00136228,2024-09-16 05:00:00
1726466400000,-1.49,2.0324458,-0.00253801,0.00346178,2024-09-16 06:00:00
1726470000000,-14.7,-5.32429843,-0.02495285,-0.00903641,2024-09-16 07:00:00
1726473600000,-13.14,-8.56742155,-0.02229954,-0.01453841,2024-09-16 08:00:00
1726477200000,-5.13,0.68029475,-0.00874881,0.00116007,2024-09-16 09:00:00
1726480800000,-9.41,-5.2975007,-0.01601702,-0.00901639,2024-09-16 10:00:00
1726484400000,-7.54,-2.52540213,-0.01285286,-0.00430449,2024-09-16 11:00:00
1726488000000,-13.7,-132.21917975,-0.0234076,-0.22636507,2024-09-16 12:00:00
1726491600000,-14.02,-119.55637302,-0.023967,-0.20474873,2024-09-16 13:00:00
1726495200000,-19.78,-9.69526772,-0.03433789,-0.01682795,2024-09-16 14:00:00
1726498800000,-18.2,-8.9389296,-0.03144345,-0.01544098,2024-09-16 15:00:00
1726502400000,-6.35,-11.69511075,-0.01098426,-0.02023213,2024-09-16 16:00:00
1726506000000,-20.25,-3.24573404,-0.03480816,-0.00557753,2024-09-16 17:00:00
1726509600000,-15.38,-1.32227224,-0.02656487,-0.00228332,2024-09-16 18:00:00
1726513200000,-7.93,2.4999182,-0.01368563,0.00431359,2024-09-16 19:00:00
1726516800000,-21.22,3.41796365,-0.03678409,0.00592238,2024-09-16 20:00:00
1726520400000,-9.53,-105.80600973,-0.01643231,-0.18274117,2024-09-16 21:00:00
1726524000000,-7.41,0.7058014,-0.01278247,0.00121736,2024-09-16 22:00:00
1726527600000,-5.24,-1.1650207,-0.00900127,-0.00200113,2024-09-16 23:00:00
1726531200000,-0.05,-2.49985173,-8.676e-05,-0.00433794,2024-09-17 00:00:00
1726534800000,0.13,3.60376,0.00022454,0.00622417,2024-09-17 01:00:00
1726538400000,-7.28,-3.21249476,-0.01252677,-0.00552739,2024-09-17 02:00:00
1726542000000,1.69,5.1736,0.00291078,0.00891025,2024-09-17 03:00:00
1726545600000,1.69,5.7672207,0.00290149,0.00990079,2024-09-17 04:00:00
1726549200000,3.55,-17.37960104,0.0060536,-0.02964697,2024-09-17 05:00:00
1726552800000,-2.48,-4.0065368,-0.00424019,-0.00685036,2024-09-17 06:00:00
1726556400000,-1.89,0.45605474,-0.00322001,0.00077695,2024-09-17 07:00:00
1726560000000,-0.57,1.19376,-0.00096952,0.00203042,2024-09-17 08:00:00
1726563600000,-4.46,3.2056424,-0.00756362,0.00543567,2024-09-17 09:00:00
1726567200000,9.79,-115.56463084,0.01652711,-0.19550474,2024-09-17 10:00:00
1726570800000,9.41,9.39168489,0.01592729,0.01589629,2024-09-17 11:00:00
1726574400000,0.03,2.405244,5.052e-05,0.00405036,2024-09-17 12:00:00
1726578000000,6.03,-11.93340224,0.01022623,-0.02024393,2024-09-17 13:00:00
1726581600000,23.08,8.96770514,0.03829741,0.0148839,2024-09-17 14:00:00
1726585200000,12.06,10.22960313,0.01972667,0.01673317,2024-09-17 15:00:00
