start_time,datetime,open_interest
1647115200000,2022-03-12 20:00:00,5325306727.98642
1647118800000,2022-03-12 21:00:00,5314587950.130122
1647122400000,2022-03-12 22:00:00,5327172135.8164215
1647126000000,2022-03-12 23:00:00,5295350207.739589
1647129600000,2022-03-13 00:00:00,5325769502.499734
1647133200000,2022-03-13 01:00:00,5323555573.578377
1647136800000,2022-03-13 02:00:00,5347538756.398963
1647140400000,2022-03-13 03:00:00,5356448684.514912
1647144000000,2022-03-13 04:00:00,5349278299.810399
1647147600000,2022-03-13 05:00:00,5350826045.737422
1647151200000,2022-03-13 06:00:00,5355667289.023817
1647154800000,2022-03-13 07:00:00,5344553103.074819
1647158400000,2022-03-13 08:00:00,5350592730.933002
1647162000000,2022-03-13 09:00:00,5361615129.148067
1647165600000,2022-03-13 10:00:00,5366328288.054374
1647169200000,2022-03-13 11:00:00,5378243536.255128
1647172800000,2022-03-13 12:00:00,5383973386.291277
1647176400000,2022-03-13 13:00:00,5392772265.650335
1647180000000,2022-03-13 14:00:00,5399893602.017849
1647183600000,2022-03-13 15:00:00,5378048508.119957
1647187200000,2022-03-13 16:00:00,5368376106.26047
1647190800000,2022-03-13 17:00:00,5357556265.250651
1647194400000,2022-03-13 18:00:00,5359219465.691729
1647198000000,2022-03-13 19:00:00,5291967045.576881
1647201600000,2022-03-13 20:00:00,5275036281.628894
1647205200000,2022-03-13 21:00:00,5287410571.161942
1647208800000,2022-03-13 22:00:00,5200646221.619315
1647212400000,2022-03-13 23:00:00,5270467441.282372
1647216000000,2022-03-14 00:00:00,5314388868.633525
1647219600000,2022-03-14 01:00:00,5326082478.374459
1647223200000,2022-03-14 02:00:00,5345046823.297307
1647226800000,2022-03-14 03:00:00,5351837554.74994
1647230400000,2022-03-14 04:00:00,5335171348.947628
1647234000000,2022-03-14 05:00:00,5351931047.496763
1647237600000,2022-03-14 06:00:00,5383207370.300522
1647241200000,2022-03-14 07:00:00,5393418096.800162
1647244800000,2022-03-14 08:00:00,5406152119.039574
1647248400000,2022-03-14 09:00:00,5435739163.161285
1647252000000,2022-03-14 10:00:00,5411013453.71249
1647255600000,2022-03-14 11:00:00,5386471276.584168
1647259200000,2022-03-14 12:00:00,5369640693.473104
1647262800000,2022-03-14 13:00:00,5339592114.21613
1647266400000,2022-03-14 14:00:00,5363035499.186356
1647270000000,2022-03-14 15:00:00,5328407310.92113
1647273600000,2022-03-14 16:00:00,5289516266.191129
1647277200000,2022-03-14 17:00:00,5243269834.447725
1647280800000,2022-03-14 18:00:00,5252616568.178902
1647284400000,2022-03-14 19:00:00,5268905860.054628
1647288000000,2022-03-14 20:00:00,5265645912.6917305
1647291600000,2022-03-14 21:00:00,5279520362.825504
1647295200000,2022-03-14 22:00:00,5288725050.85594
1647298800000,2022-03-14 23:00:00,5295798549.806051
1647302400000,2022-03-15 00:00:00,5324561493.565419
1647306000000,2022-03-15 01:00:00,5273432801.840163
1647309600000,2022-03-15 02:00:00,5294409599.095242
1647313200000,2022-03-15 03:00:00,5327844496.955191
1647316800000,2022-03-15 04:00:00,5348226443.193052
1647320400000,2022-03-15 05:00:00,5359925162.652899
1647324000000,2022-03-15 06:00:00,5350782882.4967165
1647327600000,2022-03-15 07:00:00,5404394612.631077
1647331200000,2022-03-15 08:00:00,5436189612.671301
1647334800000,2022-03-15 09:00:00,5453230844.413377
1647338400000,2022-03-15 10:00:00,5455868074.3027315
1647342000000,2022-03-15 11:00:00,5429215315.855936
1647345600000,2022-03-15 12:00:00,5414182173.197258
1647349200000,2022-03-15 13:00:00,5361808877.81018
1647352800000,2022-03-15 14:00:00,5357859516.028788
1647356400000,2022-03-15 15:00:00,5359589240.433704
1647360000000,2022-03-15 16:00:00,5544549885.348466
1647363600000,2022-03-15 17:00:00,5509342171.826299
1647367200000,2022-03-15 18:00:00,5598255237.475769
1647370800000,2022-03-15 19:00:00,5670765447.960199
1647374400000,2022-03-15 20:00:00,5593188337.823446
1647378000000,2022-03-15 21:00:00,5557321562.756677
1647381600000,2022-03-15 22:00:00,5538264419.830635
1647385200000,2022-03-15 23:00:00,5542214661.868674
1647388800000,2022-03-16 00:00:00,5541702994.160639
1647392400000,2022-03-16 01:00:00,5622972621.544625
1647396000000,2022-03-16 02:00:00,5571314431.693719
1647399600000,2022-03-16 03:00:00,5360372641.941904
1647403200000,2022-03-16 04:00:00,5388417259.910647
1647406800000,2022-03-16 05:00:00,5391423898.507793
1647410400000,2022-03-16 06:00:00,5462022859.718241
1647414000000,2022-03-16 07:00:00,5493493192.781386
1647417600000,2022-03-16 08:00:00,5562375542.497168
1647421200000,2022-03-16 09:00:00,5610953729.168846
1647424800000,2022-03-16 10:00:00,5597332637.481383
1647428400000,2022-03-16 11:00:00,5619614000.216576
1647432000000,2022-03-16 12:00:00,5555779604.055096
1647435600000,2022-03-16 13:00:00,5586342576.87187
1647439200000,2022-03-16 14:00:00,5626634093.032638
1647442800000,2022-03-16 15:00:00,5632665816.717279
1647446400000,2022-03-16 16:00:00,5611032534.893596
1647450000000,2022-03-16 17:00:00,5580524098.676859
1647453600000,2022-03-16 18:00:00,5542529795.97608
1647457200000,2022-03-16 19:00:00,5697177630.324083
1647460800000,2022-03-16 20:00:00,5814413723.280075
1647464400000,2022-03-16 21:00:00,5815559097.352711
1647468000000,2022-03-16 22:00:00,5804336963.162502
1647471600000,2022-03-16 23:00:00,5871103905.569552
1647475200000,2022-03-17 00:00:00,5869012653.47184
1647478800000,2022-03-17 01:00:00,5895329139.596283
1647482400000,2022-03-17 02:00:00,5890035828.758072
1647486000000,2022-03-17 03:00:00,5902342157.02899
1647489600000,2022-03-17 04:00:00,5913221708.726411
1647493200000,2022-03-17 05:00:00,5888337915.307433
1647496800000,2022-03-17 06:00:00,5850542071.904672
1647500400000,2022-03-17 07:00:00,5886114321.92173
1647504000000,2022-03-17 08:00:00,5928584254.1062765
1647507600000,2022-03-17 09:00:00,5933925052.303213
1647511200000,2022-03-17 10:00:00,5936299722.318921
1647514800000,2022-03-17 11:00:00,5975257879.137182
1647518400000,2022-03-17 12:00:00,6094813714.460748
1647522000000,2022-03-17 13:00:00,6179991896.202154
1647525600000,2022-03-17 14:00:00,6137450334.8216505
1647529200000,2022-03-17 15:00:00,6162500387.52254
1647532800000,2022-03-17 16:00:00,6134667181.820844
1647536400000,2022-03-17 17:00:00,6131599135.271877
1647540000000,2022-03-17 18:00:00,6151305446.177095
1647543600000,2022-03-17 19:00:00,6198344124.012354
1647547200000,2022-03-17 20:00:00,6147496848.28833
1647550800000,2022-03-17 21:00:00,6166291064.5426235
1647554400000,2022-03-17 22:00:00,6163510607.989331
1647558000000,2022-03-17 23:00:00,6157618868.6923685
1647561600000,2022-03-18 00:00:00,6044807841.185621
1647565200000,2022-03-18 01:00:00,6065004728.891106
1647568800000,2022-03-18 02:00:00,6052442163.630114
1647572400000,2022-03-18 03:00:00,6015556199.992257
1647576000000,2022-03-18 04:00:00,6013679318.08765
1647579600000,2022-03-18 05:00:00,6063573805.741671
1647583200000,2022-03-18 06:00:00,6075848368.170155
1647586800000,2022-03-18 07:00:00,6078537085.327169
1647590400000,2022-03-18 08:00:00,6115523887.495728
1647594000000,2022-03-18 09:00:00,6120090299.205528
1647597600000,2022-03-18 10:00:00,6131681888.156962
1647601200000,2022-03-18 11:00:00,6095155769.220345
1647604800000,2022-03-18 12:00:00,6154149643.186034
1647608400000,2022-03-18 13:00:00,6132720035.616388
1647612000000,2022-03-18 14:00:00,6427214026.668636
1647615600000,2022-03-18 15:00:00,6638792809.842233
1647619200000,2022-03-18 16:00:00,6675307766.015604
