start_time,v,datetime
1647115200000,337861311741.131,2022-03-12 20:00:00
1647118800000,337853911089.83105,2022-03-12 21:00:00
1647122400000,337861633334.21924,2022-03-12 22:00:00
1647126000000,337856665094.1542,2022-03-12 23:00:00
1647129600000,337833212827.5237,2022-03-13 00:00:00
1647133200000,337830300380.9261,2022-03-13 01:00:00
1647136800000,337825572516.58856,2022-03-13 02:00:00
1647140400000,337824285004.81573,2022-03-13 03:00:00
1647144000000,337822293354.59143,2022-03-13 04:00:00
1647147600000,337819056894.2776,2022-03-13 05:00:00
1647151200000,337815317791.5513,2022-03-13 06:00:00
1647154800000,337811288079.9591,2022-03-13 07:00:00
1647158400000,337804567212.3489,2022-03-13 08:00:00
1647162000000,337771864562.8579,2022-03-13 09:00:00
1647165600000,337767489840.28345,2022-03-13 10:00:00
1647169200000,337751746521.88184,2022-03-13 11:00:00
1647172800000,337734548031.3549,2022-03-13 12:00:00
1647176400000,337738044164.19995,2022-03-13 13:00:00
1647180000000,337741325167.6739,2022-03-13 14:00:00
1647183600000,337770244779.2648,2022-03-13 15:00:00
1647187200000,337767599161.92694,2022-03-13 16:00:00
1647190800000,337764268180.7996,2022-03-13 17:00:00
1647194400000,337761773248.3557,2022-03-13 18:00:00
1647198000000,337759033865.91174,2022-03-13 19:00:00
1647201600000,337745591875.96545,2022-03-13 20:00:00
1647205200000,337746424078.17737,2022-03-13 21:00:00
1647208800000,337735786579.4982,2022-03-13 22:00:00
1647212400000,337693151160.5735,2022-03-13 23:00:00
1647216000000,337683319842.32214,2022-03-14 00:00:00
1647219600000,337678745359.61487,2022-03-14 01:00:00
1647223200000,337677959611.08075,2022-03-14 02:00:00
1647226800000,337670978031.56006,2022-03-14 03:00:00
1647230400000,337681122574.1829,2022-03-14 04:00:00
1647234000000,337675967036.8911,2022-03-14 05:00:00
1647237600000,337674485487.4723,2022-03-14 06:00:00
1647241200000,337678229424.4862,2022-03-14 07:00:00
1647244800000,337688401169.9806,2022-03-14 08:00:00
1647248400000,337697901692.9249,2022-03-14 09:00:00
1647252000000,337698479564.87036,2022-03-14 10:00:00
1647255600000,337700521215.3413,2022-03-14 11:00:00
1647259200000,337690511399.1459,2022-03-14 12:00:00
1647262800000,337688953002.24164,2022-03-14 13:00:00
1647266400000,337689409809.6328,2022-03-14 14:00:00
1647270000000,337690846791.8213,2022-03-14 15:00:00
1647273600000,337678744585.3212,2022-03-14 16:00:00
1647277200000,337658610206.4683,2022-03-14 17:00:00
1647280800000,337647553927.4814,2022-03-14 18:00:00
1647284400000,337640198476.28644,2022-03-14 19:00:00
1647288000000,337642564098.79395,2022-03-14 20:00:00
1647291600000,337632140820.42053,2022-03-14 21:00:00
1647295200000,337602026866.64825,2022-03-14 22:00:00
1647298800000,337599175974.6567,2022-03-14 23:00:00
1647302400000,337592408514.6207,2022-03-15 00:00:00
1647306000000,337579712102.8788,2022-03-15 01:00:00
1647309600000,337561994434.76483,2022-03-15 02:00:00
1647313200000,337546625530.4382,2022-03-15 03:00:00
1647316800000,337532431434.2341,2022-03-15 04:00:00
1647320400000,337529964362.8586,2022-03-15 05:00:00
1647324000000,337519589215.3889,2022-03-15 06:00:00
1647327600000,337468898729.83496,2022-03-15 07:00:00
1647331200000,337458143331.6426,2022-03-15 08:00:00
1647334800000,337448488415.6474,2022-03-15 09:00:00
1647338400000,337441550165.64136,2022-03-15 10:00:00
1647342000000,337458248281.5198,2022-03-15 11:00:00
1647345600000,337448391312.1305,2022-03-15 12:00:00
1647349200000,337437424627.3061,2022-03-15 13:00:00
1647352800000,337453880783.31476,2022-03-15 14:00:00
1647356400000,337465441284.7552,2022-03-15 15:00:00
1647360000000,337459180061.6383,2022-03-15 16:00:00
1647363600000,337431085503.6405,2022-03-15 17:00:00
1647367200000,337408173612.1063,2022-03-15 18:00:00
1647370800000,337411976790.42505,2022-03-15 19:00:00
1647374400000,337390998427.9589,2022-03-15 20:00:00
1647378000000,337379859131.8115,2022-03-15 21:00:00
1647381600000,337372949935.2873,2022-03-15 22:00:00
1647385200000,337354662362.07324,2022-03-15 23:00:00
1647388800000,337322779466.73615,2022-03-16 00:00:00
1647392400000,337316214087.41077,2022-03-16 01:00:00
1647396000000,337388279446.06055,2022-03-16 02:00:00
1647399600000,337316758454.25555,2022-03-16 03:00:00
1647403200000,337296214905.4782,2022-03-16 04:00:00
1647406800000,337265693863.01654,2022-03-16 05:00:00
1647410400000,337278524486.71735,2022-03-16 06:00:00
1647414000000,337282658148.7846,2022-03-16 07:00:00
1647417600000,337285015499.6206,2022-03-16 08:00:00
1647421200000,337462005712.77295,2022-03-16 09:00:00
1647424800000,337502357445.92224,2022-03-16 10:00:00
1647428400000,337500288377.36865,2022-03-16 11:00:00
1647432000000,337498158509.50977,2022-03-16 12:00:00
1647435600000,337497440915.29846,2022-03-16 13:00:00
1647439200000,337519827357.58997,2022-03-16 14:00:00
1647442800000,337519913254.928,2022-03-16 15:00:00
1647446400000,337509044403.29663,2022-03-16 16:00:00
1647450000000,337442378368.8796,2022-03-16 17:00:00
1647453600000,337507410691.7571,2022-03-16 18:00:00
1647457200000,337536124550.6196,2022-03-16 19:00:00
1647460800000,337539469114.76294,2022-03-16 20:00:00
1647464400000,337709619414.29205,2022-03-16 21:00:00
1647468000000,337704807047.3404,2022-03-16 22:00:00
1647471600000,337707166394.7158,2022-03-16 23:00:00
1647475200000,337727754941.05115,2022-03-17 00:00:00
1647478800000,337730157292.73584,2022-03-17 01:00:00
1647482400000,337834582975.4956,2022-03-17 02:00:00
1647486000000,337836020311.0223,2022-03-17 03:00:00
1647489600000,337837813718.16626,2022-03-17 04:00:00
1647493200000,337839862097.6851,2022-03-17 05:00:00
1647496800000,337919578179.4152,2022-03-17 06:00:00
1647500400000,338254390306.1492,2022-03-17 07:00:00
1647504000000,338256835866.90344,2022-03-17 08:00:00
1647507600000,338254922832.25793,2022-03-17 09:00:00
1647511200000,338242797606.86316,2022-03-17 10:00:00
1647514800000,338244041642.3252,2022-03-17 11:00:00
1647518400000,338253342760.0335,2022-03-17 12:00:00
1647522000000,338259129262.47906,2022-03-17 13:00:00
1647525600000,338254619563.7779,2022-03-17 14:00:00
1647529200000,338253153326.99,2022-03-17 15:00:00
1647532800000,338250502252.882,2022-03-17 16:00:00
1647536400000,338173105289.5047,2022-03-17 17:00:00
1647540000000,338160636592.74115,2022-03-17 18:00:00
1647543600000,338154860370.8939,2022-03-17 19:00:00
1647547200000,338153680429.56555,2022-03-17 20:00:00
1647550800000,337962720063.72864,2022-03-17 21:00:00
1647554400000,337394939920.12256,2022-03-17 22:00:00
1647558000000,337401835233.5165,2022-03-17 23:00:00
1647561600000,337396394610.4303,2022-03-18 00:00:00
1647565200000,337375399874.368,2022-03-18 01:00:00
1647568800000,337371646793.8773,2022-03-18 02:00:00
1647572400000,337365802809.2993,2022-03-18 03:00:00
1647576000000,337362468371.82056,2022-03-18 04:00:00
1647579600000,337376235087.32196,2022-03-18 05:00:00
1647583200000,337374485481.4724,2022-03-18 06:00:00
1647586800000,337363599559.61285,2022-03-18 07:00:00
1647590400000,337355355183.85785,2022-03-18 08:00:00
1647594000000,337341922222.808,2022-03-18 09:00:00
1647597600000,337330650052.20374,2022-03-18 10:00:00
1647601200000,337301652246.2291,2022-03-18 11:00:00
1647604800000,337301595310.2405,2022-03-18 12:00:00
1647608400000,337297634920.2882,2022-03-18 13:00:00
1647612000000,337299249881.29553,2022-03-18 14:00:00
1647615600000,337312337708.92694,2022-03-18 15:00:00
1647619200000,337357212288.95654,2022-03-18 16:00:00
1647622800000,337364695770.4028,2022-03-18 17:00:00
1647626400000,337423465683.2436,2022-03-18 18:00:00
1647630000000,337472278664.8772,2022-03-18 19:00:00
1647633600000,337484330696.3595,2022-03-18 20:00:00
1647637200000,337481146872.7603,2022-03-18 21:00:00
1647640800000,337484815468.14545,2022-03-18 22:00:00
