start_time,v,datetime
1571443200000,-0.2338032637951286,2019-10-19
1571529600000,-0.2224119101377428,2019-10-20
1571616000000,-0.2247404169446081,2019-10-21
1571702400000,-0.2363272483271703,2019-10-22
1571788800000,-0.28061252841001155,2019-10-23
1571875200000,-0.278067729242749,2019-10-24
1571961600000,-0.1921288165157093,2019-10-25
1572048000000,-0.19900276188633817,2019-10-26
1572134400000,-0.17829391390460414,2019-10-27
1572220800000,-0.18620273986708424,2019-10-28
1572307200000,-0.15351578240825647,2019-10-29
1572393600000,-0.17803888902010973,2019-10-30
1572480000000,-0.18186299161420807,2019-10-31
1572566400000,-0.18133015141472425,2019-11-01
1572652800000,-0.18210627151324585,2019-11-02
1572739200000,-0.18911014403287563,2019-11-03
1572825600000,-0.17115892874526584,2019-11-04
1572912000000,-0.13633657643887906,2019-11-05
1572998400000,-0.1276097916011392,2019-11-06
1573084800000,-0.14383364078499375,2019-11-07
1573171200000,-0.1608368616286911,2019-11-08
1573257600000,-0.15754652850386472,2019-11-09
1573344000000,-0.13713266102139335,2019-11-10
1573430400000,-0.15539406452666893,2019-11-11
1573516800000,-0.14949866507601195,2019-11-12
1573603200000,-0.14289304040486514,2019-11-13
1573689600000,-0.151109716026727,2019-11-14
1573776000000,-0.17568845837072045,2019-11-15
1573862400000,-0.16298511975165553,2019-11-16
1573948800000,-0.15499425395562816,2019-11-17
1574035200000,-0.1752649245701088,2019-11-18
1574121600000,-0.18934794408572095,2019-11-19
1574208000000,-0.19671879032851933,2019-11-20
1574294400000,-0.26075461923709037,2019-11-21
1574380800000,-0.30848629284870405,2019-11-22
1574467200000,-0.2918147616180164,2019-11-23
1574553600000,-0.33581293486697716,2019-11-24
1574640000000,-0.31918603521540384,2019-11-25
1574726400000,-0.30715123741588574,2019-11-26
1574812800000,-0.2876806582447456,2019-11-27
1574899200000,-0.29428155851591187,2019-11-28
1574985600000,-0.27738598979389856,2019-11-29
1575072000000,-0.2891340807931616,2019-11-30
1575158400000,-0.29490595203196146,2019-12-01
1575244800000,-0.30404302879120154,2019-12-02
1575331200000,-0.3084970807850936,2019-12-03
1575417600000,-0.31415802370426993,2019-12-04
1575504000000,-0.30213206212285276,2019-12-05
1575590400000,-0.3002740226586092,2019-12-06
1575676800000,-0.3015144345775154,2019-12-07
1575763200000,-0.2897780583366057,2019-12-08
1575849600000,-0.3035081247190676,2019-12-09
1575936000000,-0.3128146547401315,2019-12-10
1576022400000,-0.32431770777501556,2019-12-11
1576108800000,-0.31594428690412807,2019-12-12
1576195200000,-0.31859612948873367,2019-12-13
1576281600000,-0.3279797247305377,2019-12-14
1576368000000,-0.32683596877982574,2019-12-15
