datetime,signal,return,position,strategy_return,trades,transaction_cost,cum_return,cum_strategy_value,peak,drawdown
2019-10-19,0,,,,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-10-20,0,0.0341129439181187,0.0,0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-10-21,0,-0.002006514784813729,0.0,-0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-10-22,0,-0.02205019910409245,0.0,-0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-10-23,0,-0.06930527659648744,0.0,-0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-10-24,0,-0.007186872069658401,0.0,-0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-10-25,0,0.16712879569848949,0.0,0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-10-26,0,0.06730867052023104,0.0,0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-10-27,0,0.03261404082658337,0.0,0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-10-28,0,-0.03314270369608896,0.0,-0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-10-29,0,0.021444318112778582,0.0,0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-10-30,0,-0.026523576158096418,0.0,-0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-10-31,0,-0.001669339792478075,0.0,-0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-11-01,0,0.008853551912568314,0.0,0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-11-02,0,0.00615208953299784,0.0,0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-11-03,0,-0.009681517689872798,0.0,-0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-11-04,0,0.021481036934597908,0.0,0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-11-05,0,-0.008755292449757479,0.0,-0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-11-06,0,0.003264184168706663,0.0,0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-11-07,0,-0.013266835052870518,0.0,-0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-11-08,0,-0.04822422567475504,0.0,-0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-11-09,0,0.004116225243674165,0.0,0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-11-10,0,0.026121448392094182,0.0,0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-11-11,0,-0.03455030299812745,0.0,-0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-11-12,-1,0.010089438224387237,0.0,0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-11-13,0,-0.004790745151411979,-1.0,0.003790745151411979,1.0,0.001,1.003790745151412,100379.07451514121,100379.07451514121,0.0
2019-11-14,0,-0.015101267726980616,0.0,-0.001,1.0,0.001,1.0027869544062606,100278.69544062606,100379.07451514121,-0.0010000000000000787
2019-11-15,-1,-0.019552778500969037,0.0,-0.0,0.0,0.0,1.0027869544062606,100278.69544062606,100379.07451514121,-0.0010000000000000787
2019-11-16,0,0.0020995436236539433,-1.0,-0.0030995436236539433,1.0,0.001,0.9996787724958474,99967.87724958474,100379.07451514121,-0.004096444080030345
2019-11-17,0,0.0015286666211287159,0.0,-0.001,1.0,0.001,0.9986790937233515,99867.90937233515,100379.07451514121,-0.005092347635950294
2019-11-18,0,-0.03772089500990128,0.0,-0.0,0.0,0.0,0.9986790937233515,99867.90937233515,100379.07451514121,-0.005092347635950294
2019-11-19,0,-0.0063006674601565615,0.0,-0.0,0.0,0.0,0.9986790937233515,99867.90937233515,100379.07451514121,-0.005092347635950294
