datetime,start_time,close,high,low,open,volume,Year,Month,Day,DayOfWeek,Quarter,IsMonthEnd,MA_5,MA_20,MA_50,EMA_5,EMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,Bollinger_Middle,Bollinger_Std,Bollinger_Upper,Bollinger_Lower,Daily_Return,Log_Return,Volatility_20d,rule1_signal,rule2_signal
2020-03-25,1585094400000,6698.5,6745.5,6500.0,6500.0,3665.93304,2020,3,25,2,1,0,36868.33,36631.85,37458.41,6698.5,6698.5,6698.5,6698.5,52.10920512201015,0.0,0.0,36631.85,1885.013104799301,41737.05012788921,31430.71643138857,0.0006145341786394,0.0006143454298355,0.0284950546328464,-1,1
2020-03-26,1585180800000,6733.5,6767.0,6512.0,6698.5,3904.964,2020,3,26,3,1,0,36868.33,36631.85,37458.41,6710.166666666667,6701.833333333334,6703.884615384615,6701.092592592592,52.10920512201015,2.79202279202309,0.558404558404618,36631.85,1885.013104799301,41737.05012788921,31430.71643138857,0.0052250503844144,0.005211447173056,0.0284950546328464,-1,1
2020-03-27,1585267200000,6354.0,6838.0,6235.0,6733.5,4605.347,2020,3,27,4,1,0,36868.33,36631.85,37458.41,6591.444444444445,6668.70634920635,6650.056213017751,6675.382030178326,52.10920512201015,-25.325817160574843,-4.618439785391274,36631.85,1885.013104799301,41737.05012788921,31430.71643138857,-0.0563599910893294,-0.058010532060635,0.0284950546328464,-1,1
2020-03-28,1585353600000,6230.5,6354.0,6010.0,6354.0,5750.959,2020,3,28,5,1,0,36868.33,36631.85,37458.41,6471.129629629631,6626.972411186697,6585.509103322713,6642.427805720672,52.10920512201015,-56.91870239795935,-15.078492307904892,36631.85,1885.013104799301,41737.05012788921,31430.71643138857,-0.0194365753855838,-0.0196279494465391,0.0284950546328464,-1,1
2020-03-29,1585440000000,5873.0,6247.0,5858.0,6230.5,5347.238,2020,3,29,6,1,0,6377.9,36631.85,37458.41,6271.753086419754,6555.165514883202,6475.892318196142,6585.433153445068,52.10920512201015,-109.54083524892576,-33.97096089610906,36631.85,1885.013104799301,41737.05012788921,31430.71643138857,-0.057379022550357,-0.0590910098604027,0.0284950546328464,-1,1
2020-03-30,1585526400000,6389.5,6577.5,5841.5,5873.0,15103.617,2020,3,30,0,1,0,6316.1,36631.85,37458.41,6311.00205761317,6539.387846799087,6462.601192319812,6570.919586523211,52.10920512201015,-108.3183942033993,-48.84044755756712,36631.85,1885.013104799301,41737.05012788921,31430.71643138857,0.0879448322833305,0.0842904415262385,0.0284950546328464,-1,1
2020-03-31,1585612800000,6405.0,6509.5,6323.5,6389.5,15717.34,2020,3,31,1,1,1,6250.4,36631.85,37458.41,6342.334705075447,6526.589004246794,6453.739470424456,6558.629246780752,52.10920512201015,-104.88977635629544,-60.05031331731279,36631.85,1885.013104799301,41737.05012788921,31430.71643138857,0.0024258549182252,0.0024229172820766,0.0284950546328464,-1,1
2020-04-01,1585699200000,6642.0,6687.0,6145.0,6405.0,17552.87,2020,4,1,2,2,0,6308.0,36631.85,37458.41,6442.223136716965,6537.58052765186,6482.702628820694,6564.804858130326,52.10920512201015,-82.10222930963118,-64.46069651577646,36631.85,1885.013104799301,41737.05012788921,31430.71643138857,0.0370023419203746,0.0363341876058572,0.0284950546328464,-1,1
2020-04-02,1585785600000,6796.5,7230.5,6543.5,6642.0,32569.69,2020,4,2,3,2,0,6421.2,36631.85,37458.41,6560.315424477977,6562.239525018349,6530.979147463665,6581.967461231783,52.10920512201015,-50.98831376811813,-61.7662199662448,36631.85,1885.013104799301,41737.05012788921,31430.71643138857,0.0232610659439926,0.0229946508386106,0.0284950546328464,-1,1
2020-04-03,1585872000000,6727.5,7044.0,6604.5,6796.5,12668.382,2020,4,3,4,2,0,6592.1,36631.85,37458.41,6616.043616318652,6577.978617873744,6561.213124776948,6592.747649288688,52.10920512201015,-31.53452451174053,-55.71988087534395,36631.85,1885.013104799301,41737.05012788921,31430.71643138857,-0.0101522842639594,-0.0102041701742417,0.0284950546328464,-1,1
